DUNDAS ST west of ERINDALE STATION RD,5:16:00 AM,5:36:00 AM,5:54:00 AM,6:12:00 AM,6:30:00 AM,6:44:00 AM,7:06:00 AM,7:24:00 AM,7:40:00 AM,8:00:00 AM,8:18:00 AM,8:36:00 AM,8:54:00 AM,9:12:00 AM,9:32:00 AM,9:44 AM[c],10:02:00 AM,10:27:00 AM,10:52:00 AM,11:17:00 AM,11:42:00 AM,12:07:00 PM,12:32:00 PM,12:57:00 PM,1:22:00 PM,1:47:00 PM,2:12:00 PM,2:37:00 PM,3:02:00 PM,3:20:00 PM,3:38:00 PM,3:56:00 PM,4:14:00 PM,4:32:00 PM,4:50:00 PM,5:08:00 PM,5:26:00 PM,,,,
FORESTWOOD DR at ERINDALE STATION RD,5:22:00 AM,5:42:00 AM,6:00:00 AM,6:18:00 AM,6:36:00 AM,6:50:00 AM,7:12:00 AM,7:30:00 AM,7:46:00 AM,8:06:00 AM,8:24:00 AM,8:42:00 AM,9:00:00 AM,9:18:00 AM,9:38:00 AM,9:50 AM[c],10:08:00 AM,10:33:00 AM,10:58:00 AM,11:23:00 AM,11:48:00 AM,12:13:00 PM,12:38:00 PM,1:03:00 PM,1:28:00 PM,1:53:00 PM,2:18:00 PM,2:43:00 PM,3:08:00 PM,3:26:00 PM,3:44:00 PM,4:02:00 PM,4:20:00 PM,4:38:00 PM,4:56:00 PM,5:14:00 PM,5:32:00 PM,,,,
MCBRIDE AVE at ERINDALE STATION RD,5:25:00 AM,5:45:00 AM,6:03:00 AM,6:21:00 AM,6:39:00 AM,6:53:00 AM,7:15:00 AM,7:33:00 AM,7:49:00 AM,8:09:00 AM,8:27:00 AM,8:45:00 AM,9:03:00 AM,9:21:00 AM,9:41:00 AM,10:11:00 AM,10:36:00 AM,11:01:00 AM,11:26:00 AM,11:51:00 AM,12:16:00 PM,12:41:00 PM,1:06:00 PM,1:31:00 PM,1:56:00 PM,2:21:00 PM,2:46:00 PM,2:56 PM[G],3:02 PM[G],3:11:00 PM,3:29:00 PM,3:47:00 PM,4:05:00 PM,4:23:00 PM,4:41:00 PM,4:59:00 PM,5:17:00 PM,5:35:00 PM,,,
THE CREDIT WOODLANDS at MCBRIDE AVE,5:27:00 AM,5:47:00 AM,6:05:00 AM,6:23:00 AM,6:41:00 AM,6:55:00 AM,7:17:00 AM,7:35:00 AM,7:51:00 AM,8:11:00 AM,8:29:00 AM,8:47:00 AM,9:05:00 AM,9:23:00 AM,9:43:00 AM,10:13:00 AM,10:38:00 AM,11:03:00 AM,11:28:00 AM,11:53:00 AM,12:18:00 PM,12:43:00 PM,1:08:00 PM,1:33:00 PM,1:58:00 PM,2:23:00 PM,2:48:00 PM,2:58 PM[G],3:04 PM[G],3:13:00 PM,3:31:00 PM,3:49:00 PM,4:07:00 PM,4:25:00 PM,4:43:00 PM,5:01:00 PM,5:19:00 PM,5:37:00 PM,,,
BURNHAMTHORPE RD W at THE CREDIT WOODLANDS,5:31:00 AM,5:51:00 AM,6:09:00 AM,6:27:00 AM,6:45:00 AM,6:59:00 AM,7:21:00 AM,7:39:00 AM,7:55:00 AM,8:15:00 AM,8:33:00 AM,8:51:00 AM,9:09:00 AM,9:27:00 AM,9:47:00 AM,10:17:00 AM,10:42:00 AM,11:07:00 AM,11:32:00 AM,11:57:00 AM,12:22:00 PM,12:47:00 PM,1:12:00 PM,1:37:00 PM,2:02:00 PM,2:27:00 PM,2:52:00 PM,3:02 PM[G],3:08 PM[G],3:17:00 PM,3:35:00 PM,3:53:00 PM,4:11:00 PM,4:29:00 PM,4:47:00 PM,5:05:00 PM,5:23:00 PM,5:41:00 PM,,,
BURNHAMTHORPE RD W at ERINDALE STATION RD,5:34:00 AM,5:54:00 AM,6:12:00 AM,6:30:00 AM,6:48:00 AM,7:02:00 AM,7:24:00 AM,7:42:00 AM,7:58:00 AM,8:18:00 AM,8:36:00 AM,8:54:00 AM,9:11:00 AM,9:29:00 AM,9:49:00 AM,10:19:00 AM,10:44:00 AM,11:09:00 AM,11:34:00 AM,11:59:00 AM,12:24:00 PM,12:49:00 PM,1:14:00 PM,1:39:00 PM,2:05:00 PM,2:30:00 PM,2:55:00 PM,3:05 PM[G],3:11 PM[G],3:20:00 PM,3:38:00 PM,3:56:00 PM,4:14:00 PM,4:32:00 PM,4:50:00 PM,5:08:00 PM,5:26:00 PM,5:44:00 PM,,,
CENTRAL PKY at MAVIS RD,5:39:00 AM,5:59:00 AM,6:17:00 AM,6:35:00 AM,6:53:00 AM,7:07:00 AM,7:29:00 AM,7:47:00 AM,8:03:00 AM,8:23:00 AM,8:41:00 AM,8:59:00 AM,9:16:00 AM,9:34:00 AM,9:54:00 AM,10:24:00 AM,10:49:00 AM,11:14:00 AM,11:39:00 AM,12:04:00 PM,12:29:00 PM,12:54:00 PM,1:19:00 PM,1:44:00 PM,2:10:00 PM,2:35:00 PM,3:00:00 PM,3:10 PM[G],3:16 PM[G],3:25:00 PM,3:43:00 PM,4:01:00 PM,4:19:00 PM,4:37:00 PM,4:55:00 PM,5:13:00 PM,5:31:00 PM,5:49:00 PM,,,
CENTRAL PKY W east of COPERNICUS DR,5:41:00 AM,6:01:00 AM,6:19:00 AM,6:37:00 AM,6:55:00 AM,7:09:00 AM,7:31:00 AM,7:49:00 AM,8:05:00 AM,8:25:00 AM,8:43:00 AM,9:01:00 AM,9:18:00 AM,9:36:00 AM,9:56:00 AM,10:26:00 AM,10:51:00 AM,11:16:00 AM,11:41:00 AM,12:06:00 PM,12:31:00 PM,12:56:00 PM,1:21:00 PM,1:46:00 PM,2:12:00 PM,2:32 PM[G],2:34 PM[G],2:36 PM[G],2:37:00 PM,3:02:00 PM,3:12 PM[G],3:18 PM[G],3:27:00 PM,3:45:00 PM,4:03:00 PM,4:21:00 PM,4:39:00 PM,4:57:00 PM,5:15:00 PM,5:33:00 PM,5:51:00 PM
CONFEDERATION PKY at BURNHAMTHORPE RD,5:43:00 AM,6:03:00 AM,6:21:00 AM,6:39:00 AM,6:57:00 AM,7:11:00 AM,7:33:00 AM,7:51:00 AM,8:07:00 AM,8:27:00 AM,8:45:00 AM,9:03:00 AM,9:20:00 AM,9:38:00 AM,9:58:00 AM,10:28:00 AM,10:53:00 AM,11:18:00 AM,11:43:00 AM,12:08:00 PM,12:33:00 PM,12:58:00 PM,1:23:00 PM,1:48:00 PM,2:14:00 PM,2:35 PM[G],2:37 PM[G],2:39 PM[G],2:39:00 PM,3:04:00 PM,3:14 PM[G],3:20 PM[G],3:29:00 PM,3:47:00 PM,4:05:00 PM,4:23:00 PM,4:41:00 PM,4:59:00 PM,5:17:00 PM,5:35:00 PM,5:53:00 PM
LIVING ARTS DR at RATHBURN RD,5:46:00 AM,6:06:00 AM,6:24:00 AM,6:42:00 AM,7:00:00 AM,7:14:00 AM,7:36:00 AM,7:54:00 AM,8:10:00 AM,8:30:00 AM,8:48:00 AM,9:06:00 AM,9:23:00 AM,9:41:00 AM,10:01:00 AM,10:31:00 AM,10:56:00 AM,11:21:00 AM,11:46:00 AM,12:11:00 PM,12:36:00 PM,1:01:00 PM,1:26:00 PM,1:51:00 PM,2:17:00 PM,2:38 PM[G],2:40 PM[G],2:42 PM[G],2:42:00 PM,3:07:00 PM,3:17 PM[G],3:23 PM[G],3:32:00 PM,3:50:00 PM,4:08:00 PM,4:26:00 PM,4:44:00 PM,5:02:00 PM,5:20:00 PM,5:38:00 PM,5:56:00 PM
