CITY CENTRE BUS TERMINAL PLATFORM K,5:33:00 AM,5:55:00 AM,6:13:00 AM,6:31:00 AM,6:51:00 AM,7:07:00 AM,7:25:00 AM,7:46:00 AM,8:01:00 AM,8:19:00 AM,8:37:00 AM,8:55:00 AM,9:13:00 AM,9:31:00 AM,9:49:00 AM,10:15:00 AM,10:42:00 AM,11:04:00 AM,11:29:00 AM,11:54:00 AM,12:19:00 PM,12:44:00 PM,1:09:00 PM,1:34:00 PM,1:59:00 PM,2:24:00 PM,2:49:00 PM,3:14:00 PM,3:39:00 PM,3:57:00 PM,4:15:00 PM,4:33:00 PM,4:51:00 PM,5:11:00 PM,5:31:00 PM,5:51:00 PM,6:03:00 PM,6:21:00 PM,6:41:00 PM,7:04:00 PM,7:29:00 PM,7:54:00 PM,8:19:00 PM,8:45:00 PM,9:08:00 PM,9:29:00 PM,10:01:00 PM,10:31:00 PM,11:16:00 PM,12:16:00 AM,1:16:00 AM,,
LIVING ARTS DR at RATHBURN RD,5:35:00 AM,5:57:00 AM,6:15:00 AM,6:33:00 AM,6:53:00 AM,7:09:00 AM,7:27:00 AM,7:48:00 AM,8:03:00 AM,8:21:00 AM,8:39:00 AM,8:57:00 AM,9:15:00 AM,9:33:00 AM,9:51:00 AM,10:17:00 AM,10:44:00 AM,11:06:00 AM,11:31:00 AM,11:56:00 AM,12:21:00 PM,12:46:00 PM,1:11:00 PM,1:36:00 PM,2:01:00 PM,2:26:00 PM,2:51:00 PM,3:16:00 PM,3:41:00 PM,3:59:00 PM,4:17:00 PM,4:35:00 PM,4:53:00 PM,5:13:00 PM,5:33:00 PM,5:53:00 PM,6:05:00 PM,6:23:00 PM,6:43:00 PM,7:06:00 PM,7:31:00 PM,7:56:00 PM,8:21:00 PM,8:47:00 PM,9:10:00 PM,9:31:00 PM,10:03:00 PM,10:33:00 PM,11:18:00 PM,12:18:00 AM,1:18:00 AM,,
CONFEDERATION PKY at WEBB DR,5:39:00 AM,6:01:00 AM,6:19:00 AM,6:37:00 AM,6:57:00 AM,7:13:00 AM,7:31:00 AM,7:52:00 AM,8:07:00 AM,8:25:00 AM,8:43:00 AM,9:01:00 AM,9:18:00 AM,9:36:00 AM,9:54:00 AM,10:20:00 AM,10:47:00 AM,11:09:00 AM,11:34:00 AM,11:59:00 AM,12:24:00 PM,12:49:00 PM,1:14:00 PM,1:39:00 PM,2:05:00 PM,2:30:00 PM,2:55:00 PM,3:20:00 PM,3:45:00 PM,4:03:00 PM,4:21:00 PM,4:39:00 PM,4:57:00 PM,5:17:00 PM,5:37:00 PM,5:57:00 PM,6:09:00 PM,6:27:00 PM,6:47:00 PM,7:10:00 PM,7:35:00 PM,8:00:00 PM,8:25:00 PM,8:51:00 PM,9:13:00 PM,9:34:00 PM,10:06:00 PM,10:36:00 PM,11:21:00 PM,12:21:00 AM,1:21:00 AM,,
CONFEDERATION PKY at CENTRAL PKY W,5:41:00 AM,6:03:00 AM,6:21:00 AM,6:39:00 AM,6:59:00 AM,7:15:00 AM,7:33:00 AM,7:54:00 AM,8:09:00 AM,8:27:00 AM,8:45:00 AM,9:04:00 AM,9:21:00 AM,9:39:00 AM,9:57:00 AM,10:23:00 AM,10:50:00 AM,11:12:00 AM,11:37:00 AM,12:02:00 PM,12:27:00 PM,12:52:00 PM,1:17:00 PM,1:42:00 PM,2:07:00 PM,2:32:00 PM,2:57:00 PM,3:22:00 PM,3:47:00 PM,4:05:00 PM,4:23:00 PM,4:41:00 PM,4:59:00 PM,5:19:00 PM,5:39:00 PM,5:59:00 PM,6:11:00 PM,6:29:00 PM,6:49:00 PM,7:12:00 PM,7:37:00 PM,8:02:00 PM,8:27:00 PM,8:53:00 PM,9:16:00 PM,9:37:00 PM,10:09:00 PM,10:39:00 PM,11:24:00 PM,12:24:00 AM,1:24:00 AM,,
CENTRAL PKY at MAVIS RD,5:45:00 AM,6:07:00 AM,6:25:00 AM,6:43:00 AM,7:03:00 AM,7:19:00 AM,7:37:00 AM,7:58:00 AM,8:13:00 AM,8:31:00 AM,8:49:00 AM,9:07:00 AM,9:24:00 AM,9:42:00 AM,10:00:00 AM,10:26:00 AM,10:53:00 AM,11:15:00 AM,11:40:00 AM,12:05:00 PM,12:30:00 PM,12:55:00 PM,1:20:00 PM,1:45:00 PM,2:11:00 PM,2:36:00 PM,3:01:00 PM,3:26:00 PM,3:51:00 PM,4:09:00 PM,4:27:00 PM,4:45:00 PM,5:03:00 PM,5:23:00 PM,5:43:00 PM,6:03:00 PM,6:15:00 PM,6:33:00 PM,6:53:00 PM,7:16:00 PM,7:41:00 PM,8:06:00 PM,8:31:00 PM,8:57:00 PM,9:19:00 PM,9:40:00 PM,10:12:00 PM,10:42:00 PM,11:27:00 PM,12:27:00 AM,1:27:00 AM,,
CENTRAL PKY west of MAVIS RD,5:45:00 AM,6:07:00 AM,6:25:00 AM,6:43:00 AM,7:03:00 AM,7:19:00 AM,7:37:00 AM,7:58:00 AM,8:13:00 AM,8:31:00 AM,8:49:00 AM,9:07:00 AM,9:24:00 AM,9:42:00 AM,10:00:00 AM,10:26:00 AM,10:53:00 AM,11:15:00 AM,11:40:00 AM,12:05:00 PM,12:30:00 PM,12:55:00 PM,1:20:00 PM,1:45:00 PM,2:11:00 PM,2:36:00 PM,3:01:00 PM,3:26:00 PM,3:51:00 PM,4:09:00 PM,4:27:00 PM,4:45:00 PM,5:03:00 PM,5:23:00 PM,5:43:00 PM,6:03:00 PM,6:15:00 PM,6:33:00 PM,6:53:00 PM,7:16:00 PM,7:41:00 PM,8:06:00 PM,8:31:00 PM,8:57:00 PM,9:19:00 PM,9:40:00 PM,10:12:00 PM,10:42:00 PM,11:27:00 PM,12:27:00 AM,1:27:00 AM,,
CENTRAL PKY W at SEMENYK CRT,5:16 AM[d],5:34 AM[d],5:47:00 AM,6:09:00 AM,6:27:00 AM,6:45:00 AM,7:05:00 AM,7:21:00 AM,7:39:00 AM,8:00:00 AM,8:15:00 AM,8:33:00 AM,8:51:00 AM,9:09:00 AM,9:26:00 AM,9:44:00 AM,10:02:00 AM,10:28:00 AM,10:55:00 AM,11:17:00 AM,11:42:00 AM,12:07:00 PM,12:32:00 PM,12:57:00 PM,1:22:00 PM,1:47:00 PM,2:13:00 PM,2:38:00 PM,3:03:00 PM,3:28:00 PM,3:53:00 PM,4:11:00 PM,4:29:00 PM,4:47:00 PM,5:05:00 PM,5:25:00 PM,5:45:00 PM,6:05:00 PM,6:17:00 PM,6:35:00 PM,6:55:00 PM,7:18:00 PM,7:43:00 PM,8:08:00 PM,8:33:00 PM,8:59:00 PM,9:21:00 PM,9:42:00 PM,10:14:00 PM,10:44:00 PM,11:29:00 PM,12:29:00 AM,1:29:00 AM
THE CREDIT WOODLANDS at LOCONDER CRT,5:22 AM[d],5:40 AM[d],5:53:00 AM,6:15:00 AM,6:33:00 AM,6:51:00 AM,7:11:00 AM,7:27:00 AM,7:45:00 AM,8:06:00 AM,8:21:00 AM,8:39:00 AM,8:57:00 AM,9:15:00 AM,9:32:00 AM,9:50:00 AM,10:08:00 AM,10:34:00 AM,11:01:00 AM,11:23:00 AM,11:48:00 AM,12:13:00 PM,12:38:00 PM,1:03:00 PM,1:28:00 PM,1:53:00 PM,2:19:00 PM,2:44:00 PM,3:09:00 PM,3:34:00 PM,3:59:00 PM,4:17:00 PM,4:35:00 PM,4:53:00 PM,5:11:00 PM,5:31:00 PM,5:51:00 PM,6:11:00 PM,6:23:00 PM,6:41:00 PM,7:01:00 PM,7:24:00 PM,7:49:00 PM,8:14:00 PM,8:39:00 PM,9:04:00 PM,9:26:00 PM,9:47:00 PM,10:19:00 PM,10:49:00 PM,11:34:00 PM,12:34:00 AM,1:34:00 AM
MCBRIDE AVE at THE CREDIT WOODLANDS,5:26 AM[d],5:44 AM[d],5:57:00 AM,6:19:00 AM,6:37:00 AM,6:55:00 AM,7:15:00 AM,7:31:00 AM,7:49:00 AM,8:10:00 AM,8:25:00 AM,8:43:00 AM,9:01:00 AM,9:19:00 AM,9:36:00 AM,9:54:00 AM,10:12:00 AM,10:38:00 AM,11:05:00 AM,11:27:00 AM,11:52:00 AM,12:17:00 PM,12:42:00 PM,1:07:00 PM,1:32:00 PM,1:57:00 PM,2:23:00 PM,2:48:00 PM,3:13:00 PM,3:38:00 PM,4:03:00 PM,4:21:00 PM,4:39:00 PM,4:57:00 PM,5:15:00 PM,5:35:00 PM,5:55:00 PM,6:15:00 PM,6:27:00 PM,6:45:00 PM,7:05:00 PM,7:28:00 PM,7:53:00 PM,8:18:00 PM,8:43:00 PM,9:08:00 PM,9:30:00 PM,9:51:00 PM,10:23:00 PM,10:53:00 PM,11:38:00 PM,12:38:00 AM,1:38:00 AM
MCBRIDE AVE at ERINDALE STATION RD,5:28 AM[d],5:46 AM[d],5:59:00 AM,6:21:00 AM,6:39:00 AM,6:57:00 AM,7:17:00 AM,7:33:00 AM,7:51:00 AM,8:12:00 AM,8:27:00 AM,8:45:00 AM,9:02:00 AM,9:20:00 AM,9:37:00 AM,9:55:00 AM,10:13:00 AM,10:39:00 AM,11:06:00 AM,11:28:00 AM,11:53:00 AM,12:18:00 PM,12:43:00 PM,1:08:00 PM,1:33:00 PM,1:58:00 PM,2:25:00 PM,2:50:00 PM,3:15:00 PM,3:40:00 PM,4:05:00 PM,4:23:00 PM,4:41:00 PM,4:59:00 PM,5:17:00 PM,5:37:00 PM,5:57:00 PM,6:17:00 PM,6:29:00 PM,6:47:00 PM,7:07:00 PM,7:30:00 PM,7:55:00 PM,8:20:00 PM,8:45:00 PM,9:10:00 PM,9:32:00 PM,9:53:00 PM,10:25:00 PM,10:55:00 PM,11:40:00 PM,12:40:00 AM,1:40:00 AM
