MATHESON BLVD FIRST STOP west of HURONTARIO ST,2:50:00 PM,3:10:00 PM,3:30:00 PM,3:45:00 PM,4:00:00 PM,4:20:00 PM,4:40:00 PM,5:18:00 PM,5:35:00 PM,6:00:00 PM,6:20:00 PM
KEATON CRES at MATHESON BLVD,2:54:00 PM,3:14:00 PM,3:34:00 PM,3:51:00 PM,4:06:00 PM,4:26:00 PM,4:46:00 PM,5:24:00 PM,5:40:00 PM,6:04:00 PM,6:24:00 PM
FALBOURNE ST at CHEDWORTH WAY,2:58:00 PM,3:17:00 PM,3:36:00 PM,3:54:00 PM,4:09:00 PM,4:29:00 PM,4:49:00 PM,5:27:00 PM,5:42:00 PM,6:08:00 PM,6:28:00 PM
MCLAUGHLIN RD at CANTAY RD,3:02:00 PM,3:21:00 PM,3:41:00 PM,3:58:00 PM,4:13:00 PM,4:32:00 PM,4:53:00 PM,5:31:00 PM,5:46:00 PM,6:12:00 PM,6:32:00 PM
MILVERTON DR east of AVEBURY RD,3:07:00 PM,3:26:00 PM,3:47:00 PM,4:05:00 PM,4:20:00 PM,4:39:00 PM,5:00:00 PM,5:38:00 PM,5:51:00 PM,6:17:00 PM,6:37:00 PM
WHITTLE RD at BRITANNIA RD,3:11:00 PM,3:30:00 PM,3:51:00 PM,4:09:00 PM,4:24:00 PM,4:44:00 PM,5:05:00 PM,5:42:00 PM,5:55:00 PM,6:21:00 PM,6:41:00 PM
BRITANNIA RD at HURONTARIO ST,3:13:00 PM,3:33:00 PM,3:53:00 PM,4:11:00 PM,4:26:00 PM,4:46:00 PM,5:07:00 PM,5:44:00 PM,5:57:00 PM,6:23:00 PM,6:43:00 PM
BURNHAMTHORPE RD at THE EAST MALL,3:27:00 PM,3:49:00 PM,4:11:00 PM,4:30:00 PM,4:46:00 PM,5:06:00 PM,5:27:00 PM,5:56:00 PM,6:09:00 PM,6:35:00 PM,6:55:00 PM
ISLINGTON SUBWAY DROP OFF,3:36:00 PM,3:58:00 PM,4:20:00 PM,4:40:00 PM,4:56:00 PM,5:16:00 PM,5:36:00 PM,6:05:00 PM,6:18:00 PM,6:44:00 PM,7:04:00 PM
ISLINGTON SUBWAY BUS TERMINAL PLATFORM C,3:37:00 PM,3:59:00 PM,4:21:00 PM,4:41:00 PM,4:57:00 PM,5:17:00 PM,5:37:00 PM,6:06:00 PM,6:19:00 PM,6:45:00 PM,7:05:00 PM
