ISLINGTON SUBWAY BUS TERMINAL PLATFORM C,6:14:00 AM,6:40:00 AM,6:58:00 AM,7:21:00 AM,7:33:00 AM,7:48:00 AM,8:03:00 AM,8:18:00 AM,8:33:00 AM,8:48:00 AM,9:19:00 AM,3:08:00 PM
DUNDAS ST at BILLINGHAM RD,6:19:00 AM,6:46:00 AM,7:04:00 AM,7:27:00 AM,7:40:00 AM,7:55:00 AM,8:10:00 AM,8:25:00 AM,8:40:00 AM,8:55:00 AM,9:25:00 AM,3:14:00 PM
BRITANNIA RD E east of HURONTARIO ST,6:33:00 AM,7:00:00 AM,7:19:00 AM,7:44:00 AM,7:57:00 AM,8:13:00 AM,8:28:00 AM,8:44:00 AM,8:59:00 AM,9:15:00 AM,9:45:00 AM,3:34:00 PM
BRITANNIA RD E at WHITTLE RD,6:34:00 AM,7:01:00 AM,7:20:00 AM,7:45:00 AM,7:58:00 AM,8:14:00 AM,8:29:00 AM,8:45:00 AM,9:00:00 AM,9:16:00 AM,9:46:00 AM,3:35:00 PM
HURONTARIO ST at MATHESON BLVD W,6:39:00 AM,7:06:00 AM,7:25:00 AM,7:50:00 AM,8:03:00 AM,8:19:00 AM,8:34:00 AM,8:50:00 AM,9:05:00 AM,9:21:00 AM,9:51:00 AM,3:40:00 PM
MATHESON BLVD FIRST STOP west of HURONTARIO ST,6:39:00 AM,7:06:00 AM,7:25:00 AM,7:50:00 AM,8:03:00 AM,8:19:00 AM,8:34:00 AM,8:50:00 AM,9:05:00 AM,9:21:00 AM,9:51:00 AM,3:40:00 PM
KEATON CRES at MATHESON BLVD,6:43:00 AM,7:10:00 AM,7:30:00 AM,7:54:00 AM,8:07:00 AM,8:23:00 AM,8:38:00 AM,8:54:00 AM,9:09:00 AM,9:25:00 AM,9:55:00 AM,3:44:00 PM
FALBOURNE ST at CHEDWORTH WAY,6:45:00 AM,7:12:00 AM,7:32:00 AM,7:56:00 AM,8:09:00 AM,8:25:00 AM,8:40:00 AM,8:56:00 AM,9:11:00 AM,9:27:00 AM,9:57:00 AM,3:46:00 PM
MCLAUGHLIN RD at CANTAY RD,6:48:00 AM,7:15:00 AM,7:35:00 AM,7:59:00 AM,8:12:00 AM,8:28:00 AM,8:43:00 AM,8:59:00 AM,9:15:00 AM,9:31:00 AM,10:01:00 AM,3:50:00 PM
MILVERTON DR east of AVEBURY RD,6:54:00 AM,7:20:00 AM,7:40:00 AM,8:04:00 AM,8:17:00 AM,8:33:00 AM,8:48:00 AM,9:05:00 AM,9:21:00 AM,9:37:00 AM,10:07:00 AM,3:56:00 PM
