SKYMARK HUB,5:46:00 AM,6:02:00 AM,6:22:00 AM,6:42:00 AM,6:59:00 AM,7:24:00 AM,7:39:00 AM,7:59:00 AM,8:19:00 AM,8:39:00 AM,3:30:00 PM,3:48:00 PM,4:06:00 PM,4:28:00 PM,4:48:00 PM,5:08:00 PM,5:28:00 PM,5:48:00 PM,6:03:00 PM,6:24:00 PM
SKYMARK AVE at ORBITOR DR,5:48:00 AM,6:04:00 AM,6:24:00 AM,6:44:00 AM,7:01:00 AM,7:26:00 AM,7:41:00 AM,8:01:00 AM,8:21:00 AM,8:41:00 AM,3:32:00 PM,3:50:00 PM,4:09:00 PM,4:31:00 PM,4:51:00 PM,5:11:00 PM,5:31:00 PM,5:51:00 PM,6:05:00 PM,6:26:00 PM
SATELLITE DR at EGLINTON AVE,5:52:00 AM,6:08:00 AM,6:28:00 AM,6:48:00 AM,7:05:00 AM,7:30:00 AM,7:45:00 AM,8:05:00 AM,8:25:00 AM,8:45:00 AM,3:35:00 PM,3:53:00 PM,4:12:00 PM,4:34:00 PM,4:54:00 PM,5:14:00 PM,5:34:00 PM,5:54:00 PM,6:08:00 PM,6:29:00 PM
TAHOE BLVD at EASTGATE PKY,5:56:00 AM,6:12:00 AM,6:32:00 AM,6:52:00 AM,7:09:00 AM,7:34:00 AM,7:49:00 AM,8:09:00 AM,8:29:00 AM,8:49:00 AM,3:39:00 PM,3:57:00 PM,4:16:00 PM,4:38:00 PM,4:58:00 PM,5:18:00 PM,5:38:00 PM,5:58:00 PM,6:12:00 PM,6:33:00 PM
AIMCO BLVD at DIXIE RD,6:01:00 AM,6:17:00 AM,6:37:00 AM,6:57:00 AM,7:14:00 AM,7:39:00 AM,7:54:00 AM,8:14:00 AM,8:34:00 AM,8:54:00 AM,3:44:00 PM,4:02:00 PM,4:21:00 PM,4:43:00 PM,5:03:00 PM,5:23:00 PM,5:43:00 PM,6:03:00 PM,6:17:00 PM,6:38:00 PM
TOMKEN RD south of MATHESON BLVD,6:05:00 AM,6:21:00 AM,6:41:00 AM,7:01:00 AM,7:18:00 AM,7:43:00 AM,7:58:00 AM,8:18:00 AM,8:38:00 AM,8:58:00 AM,3:49:00 PM,4:07:00 PM,4:26:00 PM,4:48:00 PM,5:08:00 PM,5:28:00 PM,5:48:00 PM,6:08:00 PM,6:22:00 PM,6:43:00 PM
EVEREST DR south of PANTERA DR,6:07:00 AM,6:23:00 AM,6:43:00 AM,7:03:00 AM,7:20:00 AM,7:45:00 AM,8:00:00 AM,8:20:00 AM,8:40:00 AM,9:00:00 AM,3:51:00 PM,4:09:00 PM,4:28:00 PM,4:50:00 PM,5:10:00 PM,5:30:00 PM,5:50:00 PM,6:10:00 PM,6:24:00 PM,6:45:00 PM
EVEREST DR at TIMBERLEA BLVD,6:07:00 AM,6:23:00 AM,6:43:00 AM,7:03:00 AM,7:20:00 AM,7:45:00 AM,8:00:00 AM,8:20:00 AM,8:40:00 AM,9:00:00 AM,3:51:00 PM,4:09:00 PM,4:28:00 PM,4:50:00 PM,5:10:00 PM,5:30:00 PM,5:50:00 PM,6:10:00 PM,6:24:00 PM,6:45:00 PM
TIMBERLEA BLVD FIRST STOP west of EVEREST DR,6:08:00 AM,6:24:00 AM,6:44:00 AM,7:04:00 AM,7:21:00 AM,7:46:00 AM,8:01:00 AM,8:21:00 AM,8:41:00 AM,9:01:00 AM,3:52:00 PM,4:10:00 PM,4:29:00 PM,4:51:00 PM,5:11:00 PM,5:31:00 PM,5:51:00 PM,6:11:00 PM,6:25:00 PM,6:46:00 PM
MATHESON BLVD at TOMKEN RD,6:10:00 AM,6:26:00 AM,6:46:00 AM,7:06:00 AM,7:23:00 AM,7:48:00 AM,8:03:00 AM,8:23:00 AM,8:43:00 AM,9:03:00 AM,3:54:00 PM,4:12:00 PM,4:31:00 PM,4:53:00 PM,5:13:00 PM,5:33:00 PM,5:53:00 PM,6:13:00 PM,6:27:00 PM,6:48:00 PM
