CITY CENTRE BUS TERMINAL PLATFORM E,5:21:00 AM,5:36:00 AM,5:51:00 AM,5:54:00 AM,6:06:00 AM,6:21:00 AM,6:33:00 AM,6:36:00 AM,6:51:00 AM,7:06:00 AM,7:21:00 AM,7:36:00 AM,7:51:00 AM,8:06:00 AM,8:21:00 AM,8:36:00 AM,8:51:00 AM,2:07:00 PM,2:22:00 PM,2:27:00 PM,2:37:00 PM,2:52:00 PM,3:07:00 PM,3:22:00 PM,3:37:00 PM,3:52:00 PM,4:07:00 PM,4:22:00 PM,4:37:00 PM,4:52:00 PM,5:07:00 PM,5:22:00 PM,5:37:00 PM,5:52:00 PM,6:07:00 PM,6:22:00 PM
ROBERT SPECK PKY east of CITY CENTRE DR,5:26:00 AM,5:41:00 AM,5:56:00 AM,5:59:00 AM,6:11:00 AM,6:26:00 AM,6:38:00 AM,6:41:00 AM,6:56:00 AM,7:11:00 AM,7:26:00 AM,7:41:00 AM,7:56:00 AM,8:11:00 AM,8:26:00 AM,8:41:00 AM,8:56:00 AM,2:12:00 PM,2:27:00 PM,2:32:00 PM,2:42:00 PM,2:57:00 PM,3:12:00 PM,3:27:00 PM,3:42:00 PM,3:57:00 PM,4:12:00 PM,4:27:00 PM,4:42:00 PM,4:57:00 PM,5:12:00 PM,5:27:00 PM,5:42:00 PM,5:57:00 PM,6:12:00 PM,6:27:00 PM
BURNHAMTHORPE RD E at MOLLY AVE,5:30:00 AM,5:45:00 AM,6:00:00 AM,6:03:00 AM,6:15:00 AM,6:30:00 AM,6:42:00 AM,6:45:00 AM,7:00:00 AM,7:15:00 AM,7:30:00 AM,7:45:00 AM,8:00:00 AM,8:15:00 AM,8:30:00 AM,8:45:00 AM,9:00:00 AM,2:16:00 PM,2:32:00 PM,2:37:00 PM,2:47:00 PM,3:02:00 PM,3:17:00 PM,3:32:00 PM,3:47:00 PM,4:02:00 PM,4:17:00 PM,4:32:00 PM,4:47:00 PM,5:02:00 PM,5:17:00 PM,5:32:00 PM,5:47:00 PM,6:02:00 PM,6:17:00 PM,6:32:00 PM
BURNHAMTHORPE RD E at CAWTHRA RD,5:31:00 AM,5:46:00 AM,6:01:00 AM,6:04:00 AM,6:16:00 AM,6:31:00 AM,6:43:00 AM,6:46:00 AM,7:01:00 AM,7:16:00 AM,7:31:00 AM,7:46:00 AM,8:01:00 AM,8:16:00 AM,8:31:00 AM,8:46:00 AM,9:01:00 AM,2:17:00 PM,2:33:00 PM,2:38:00 PM,2:48:00 PM,3:03:00 PM,3:18:00 PM,3:33:00 PM,3:48:00 PM,4:03:00 PM,4:18:00 PM,4:33:00 PM,4:48:00 PM,5:03:00 PM,5:18:00 PM,5:33:00 PM,5:48:00 PM,6:03:00 PM,6:18:00 PM,6:33:00 PM
BURNHAMTHORPE RD E at DIXIE RD,5:37:00 AM,5:52:00 AM,6:07:00 AM,6:10:00 AM,6:22:00 AM,6:37:00 AM,6:49:00 AM,6:52:00 AM,7:07:00 AM,7:22:00 AM,7:37:00 AM,7:52:00 AM,8:07:00 AM,8:22:00 AM,8:37:00 AM,8:52:00 AM,9:07:00 AM,2:23:00 PM,2:39:00 PM,2:44:00 PM,2:54:00 PM,3:09:00 PM,3:24:00 PM,3:39:00 PM,3:54:00 PM,4:09:00 PM,4:24:00 PM,4:39:00 PM,4:54:00 PM,5:09:00 PM,5:24:00 PM,5:39:00 PM,5:54:00 PM,6:09:00 PM,6:24:00 PM,6:39:00 PM
BURNHAMTHORPE RD E FIRST STOP east of PONYTRAIL DR,5:41:00 AM,5:56:00 AM,6:11:00 AM,6:14:00 AM,6:26:00 AM,6:41:00 AM,6:53:00 AM,6:56:00 AM,7:11:00 AM,7:26:00 AM,7:41:00 AM,7:56:00 AM,8:11:00 AM,8:26:00 AM,8:41:00 AM,8:56:00 AM,9:11:00 AM,2:27:00 PM,2:43:00 PM,2:48:00 PM,2:58:00 PM,3:13:00 PM,3:28:00 PM,3:43:00 PM,3:58:00 PM,4:13:00 PM,4:28:00 PM,4:43:00 PM,4:58:00 PM,5:13:00 PM,5:28:00 PM,5:43:00 PM,5:58:00 PM,6:13:00 PM,6:28:00 PM,6:43:00 PM
BURNHAMTHORPE RD at MULGROVE DR,5:47:00 AM,6:02:00 AM,6:17:00 AM,6:20:00 AM,6:32:00 AM,6:47:00 AM,6:59:00 AM,7:02:00 AM,7:17:00 AM,7:32:00 AM,7:47:00 AM,8:02:00 AM,8:17:00 AM,8:32:00 AM,8:47:00 AM,9:02:00 AM,9:17:00 AM,2:33:00 PM,2:49:00 PM,2:54:00 PM,3:04:00 PM,3:19:00 PM,3:34:00 PM,3:49:00 PM,4:04:00 PM,4:19:00 PM,4:34:00 PM,4:49:00 PM,5:04:00 PM,5:19:00 PM,5:34:00 PM,5:49:00 PM,6:04:00 PM,6:19:00 PM,6:34:00 PM,6:49:00 PM
BURNHAMTHORPE RD at THE WEST MALL,5:47:00 AM,6:02:00 AM,6:17:00 AM,6:20:00 AM,6:32:00 AM,6:47:00 AM,6:59:00 AM,7:02:00 AM,7:17:00 AM,7:32:00 AM,7:47:00 AM,8:02:00 AM,8:17:00 AM,8:32:00 AM,8:47:00 AM,9:02:00 AM,9:17:00 AM,2:33:00 PM,2:49:00 PM,2:54:00 PM,3:04:00 PM,3:19:00 PM,3:34:00 PM,3:49:00 PM,4:04:00 PM,4:19:00 PM,4:34:00 PM,4:49:00 PM,5:04:00 PM,5:19:00 PM,5:34:00 PM,5:49:00 PM,6:04:00 PM,6:19:00 PM,6:34:00 PM,6:49:00 PM
DUNDAS ST at BILLINGHAM RD,5:51:00 AM,6:06:00 AM,6:21:00 AM,6:24:00 AM,6:36:00 AM,6:51:00 AM,7:03:00 AM,7:06:00 AM,7:21:00 AM,7:36:00 AM,7:51:00 AM,8:06:00 AM,8:21:00 AM,8:36:00 AM,8:51:00 AM,9:06:00 AM,9:21:00 AM,2:37:00 PM,2:53:00 PM,2:58:00 PM,3:08:00 PM,3:23:00 PM,3:38:00 PM,3:53:00 PM,4:08:00 PM,4:23:00 PM,4:38:00 PM,4:53:00 PM,5:08:00 PM,5:23:00 PM,5:38:00 PM,5:53:00 PM,6:08:00 PM,6:23:00 PM,6:38:00 PM,6:53:00 PM
ISLINGTON SUBWAY DROP OFF,6:01:00 AM,6:16:00 AM,6:31:00 AM,6:34:00 AM,6:46:00 AM,7:01:00 AM,7:13:00 AM,7:16:00 AM,7:31:00 AM,7:46:00 AM,8:01:00 AM,8:16:00 AM,8:31:00 AM,8:45:00 AM,9:00:00 AM,9:15:00 AM,9:30:00 AM,2:47:00 PM,3:03:00 PM,3:08:00 PM,3:18:00 PM,3:33:00 PM,3:48:00 PM,4:03:00 PM,4:18:00 PM,4:33:00 PM,4:48:00 PM,5:03:00 PM,5:18:00 PM,5:33:00 PM,5:48:00 PM,6:03:00 PM,6:18:00 PM,6:33:00 PM,6:48:00 PM,7:03:00 PM
ISLINGTON SUBWAY BUS TERMINAL PLATFORM D,6:02:00 AM,6:17:00 AM,6:32:00 AM,6:35:00 AM,6:47:00 AM,7:02:00 AM,7:14:00 AM,7:17:00 AM,7:32:00 AM,7:47:00 AM,8:02:00 AM,8:17:00 AM,8:32:00 AM,8:46:00 AM,9:01:00 AM,9:16:00 AM,9:31:00 AM,2:48:00 PM,3:04:00 PM,3:09:00 PM,3:19:00 PM,3:34:00 PM,3:49:00 PM,4:04:00 PM,4:19:00 PM,4:34:00 PM,4:49:00 PM,5:04:00 PM,5:19:00 PM,5:34:00 PM,5:49:00 PM,6:04:00 PM,6:19:00 PM,6:34:00 PM,6:49:00 PM,7:04:00 PM
