ISLINGTON SUBWAY BUS TERMINAL PLATFORM D,6:07:00 AM,6:22:00 AM,6:37:00 AM,6:52:00 AM,7:07:00 AM,7:22:00 AM,7:37:00 AM,7:52:00 AM,8:07:00 AM,8:22:00 AM,8:37:00 AM,8:52:00 AM,9:07:00 AM,9:22:00 AM,9:37:00 AM,9:53:00 AM,10:19:00 AM,10:49:00 AM,2:53:00 PM,3:09:00 PM,3:24:00 PM,3:39:00 PM,3:54:00 PM,4:09:00 PM,4:24:00 PM,4:35:00 PM,4:39:00 PM,4:54:00 PM,5:09:00 PM,5:24:00 PM,5:28:00 PM,5:39:00 PM,5:54:00 PM,6:09:00 PM,6:24:00 PM,6:39:00 PM,6:51:00 PM,6:54:00 PM,7:07:00 PM,7:11:00 PM
DUNDAS ST at AUKLAND RD,6:11:00 AM,6:26:00 AM,6:41:00 AM,6:56:00 AM,7:11:00 AM,7:26:00 AM,7:41:00 AM,7:56:00 AM,8:11:00 AM,8:26:00 AM,8:41:00 AM,8:56:00 AM,9:11:00 AM,9:26:00 AM,9:41:00 AM,9:57:00 AM,10:23:00 AM,10:53:00 AM,2:57:00 PM,3:13:00 PM,3:28:00 PM,3:43:00 PM,3:58:00 PM,4:13:00 PM,4:28:00 PM,4:39:00 PM,4:43:00 PM,4:58:00 PM,5:13:00 PM,5:28:00 PM,5:32:00 PM,5:43:00 PM,5:58:00 PM,6:13:00 PM,6:28:00 PM,6:43:00 PM,6:55:00 PM,6:58:00 PM,7:11:00 PM,7:15:00 PM
DUNDAS ST at BILLINGHAM RD,6:15:00 AM,6:30:00 AM,6:45:00 AM,7:00:00 AM,7:15:00 AM,7:30:00 AM,7:45:00 AM,8:00:00 AM,8:15:00 AM,8:30:00 AM,8:45:00 AM,9:00:00 AM,9:14:00 AM,9:29:00 AM,9:44:00 AM,10:00:00 AM,10:26:00 AM,10:56:00 AM,3:01:00 PM,3:17:00 PM,3:32:00 PM,3:47:00 PM,4:02:00 PM,4:17:00 PM,4:32:00 PM,4:43:00 PM,4:47:00 PM,5:02:00 PM,5:17:00 PM,5:32:00 PM,5:36:00 PM,5:47:00 PM,6:02:00 PM,6:17:00 PM,6:32:00 PM,6:47:00 PM,6:59:00 PM,7:02:00 PM,7:14:00 PM,7:18:00 PM
BURNHAMTHORPE RD at THE WEST MALL,6:18:00 AM,6:33:00 AM,6:48:00 AM,7:03:00 AM,7:18:00 AM,7:33:00 AM,7:48:00 AM,8:03:00 AM,8:18:00 AM,8:33:00 AM,8:48:00 AM,9:03:00 AM,9:17:00 AM,9:32:00 AM,9:47:00 AM,10:03:00 AM,10:29:00 AM,10:59:00 AM,3:04:00 PM,3:20:00 PM,3:35:00 PM,3:50:00 PM,4:05:00 PM,4:20:00 PM,4:35:00 PM,4:46:00 PM,4:50:00 PM,5:05:00 PM,5:20:00 PM,5:35:00 PM,5:39:00 PM,5:50:00 PM,6:05:00 PM,6:20:00 PM,6:35:00 PM,6:50:00 PM,7:02:00 PM,7:05:00 PM,7:17:00 PM,7:21:00 PM
BURNHAMTHORPE RD at MULGROVE DR,6:18:00 AM,6:33:00 AM,6:48:00 AM,7:03:00 AM,7:18:00 AM,7:33:00 AM,7:48:00 AM,8:03:00 AM,8:18:00 AM,8:33:00 AM,8:48:00 AM,9:03:00 AM,9:17:00 AM,9:32:00 AM,9:47:00 AM,10:03:00 AM,10:29:00 AM,10:59:00 AM,3:04:00 PM,3:20:00 PM,3:35:00 PM,3:50:00 PM,4:05:00 PM,4:20:00 PM,4:35:00 PM,4:46:00 PM,4:50:00 PM,5:05:00 PM,5:20:00 PM,5:35:00 PM,5:39:00 PM,5:50:00 PM,6:05:00 PM,6:20:00 PM,6:35:00 PM,6:50:00 PM,7:02:00 PM,7:05:00 PM,7:17:00 PM,7:21:00 PM
BURNHAMTHORPE RD E at PONYTRAIL DR,6:25:00 AM,6:40:00 AM,6:55:00 AM,7:10:00 AM,7:25:00 AM,7:40:00 AM,7:55:00 AM,8:10:00 AM,8:25:00 AM,8:40:00 AM,8:55:00 AM,9:09:00 AM,9:23:00 AM,9:38:00 AM,9:53:00 AM,10:09:00 AM,10:35:00 AM,11:05:00 AM,3:11:00 PM,3:27:00 PM,3:42:00 PM,3:57:00 PM,4:12:00 PM,4:27:00 PM,4:42:00 PM,4:53:00 PM,4:57:00 PM,5:12:00 PM,5:27:00 PM,5:42:00 PM,5:46:00 PM,5:57:00 PM,6:12:00 PM,6:27:00 PM,6:42:00 PM,6:57:00 PM,7:08:00 PM,7:11:00 PM,7:23:00 PM,7:27:00 PM
BURNHAMTHORPE RD E at DIXIE RD,6:29:00 AM,6:44:00 AM,6:59:00 AM,7:14:00 AM,7:29:00 AM,7:44:00 AM,7:59:00 AM,8:14:00 AM,8:29:00 AM,8:44:00 AM,8:59:00 AM,9:13:00 AM,9:27:00 AM,9:42:00 AM,9:57:00 AM,10:13:00 AM,10:39:00 AM,11:09:00 AM,3:15:00 PM,3:31:00 PM,3:46:00 PM,4:01:00 PM,4:16:00 PM,4:31:00 PM,4:46:00 PM,4:57:00 PM,5:01:00 PM,5:16:00 PM,5:31:00 PM,5:46:00 PM,5:50:00 PM,6:01:00 PM,6:16:00 PM,6:31:00 PM,6:46:00 PM,7:01:00 PM,7:12:00 PM,7:15:00 PM,7:27:00 PM,7:31:00 PM
BURNHAMTHORPE RD E at CAWTHRA RD,6:35:00 AM,6:50:00 AM,7:05:00 AM,7:20:00 AM,7:35:00 AM,7:50:00 AM,8:05:00 AM,8:20:00 AM,8:35:00 AM,8:50:00 AM,9:04:00 AM,9:18:00 AM,9:32:00 AM,9:47:00 AM,10:02:00 AM,10:18:00 AM,10:44:00 AM,11:14:00 AM,3:21:00 PM,3:37:00 PM,3:52:00 PM,4:07:00 PM,4:22:00 PM,4:37:00 PM,4:52:00 PM,5:03:00 PM,5:07:00 PM,5:22:00 PM,5:37:00 PM,5:52:00 PM,5:56:00 PM,6:07:00 PM,6:22:00 PM,6:37:00 PM,6:52:00 PM,7:06:00 PM,7:17:00 PM,7:20:00 PM,7:32:00 PM,7:36:00 PM
BURNHAMTHORPE RD E at MOLLY AVE,6:36:00 AM,6:51:00 AM,7:06:00 AM,7:21:00 AM,7:36:00 AM,7:51:00 AM,8:06:00 AM,8:21:00 AM,8:36:00 AM,8:51:00 AM,9:05:00 AM,9:19:00 AM,9:33:00 AM,9:48:00 AM,10:03:00 AM,10:19:00 AM,10:45:00 AM,11:15:00 AM,3:22:00 PM,3:38:00 PM,3:53:00 PM,4:08:00 PM,4:23:00 PM,4:38:00 PM,4:53:00 PM,5:04:00 PM,5:08:00 PM,5:23:00 PM,5:38:00 PM,5:53:00 PM,5:57:00 PM,6:08:00 PM,6:23:00 PM,6:38:00 PM,6:53:00 PM,7:07:00 PM,7:18:00 PM,7:21:00 PM,7:33:00 PM,7:37:00 PM
ROBERT SPECK PKY at CITY CENTRE DR,6:41:00 AM,6:56:00 AM,7:11:00 AM,7:26:00 AM,7:41:00 AM,7:56:00 AM,8:11:00 AM,8:26:00 AM,8:41:00 AM,8:56:00 AM,9:10:00 AM,9:24:00 AM,9:38:00 AM,9:53:00 AM,10:08:00 AM,10:24:00 AM,10:50:00 AM,11:20:00 AM,3:27:00 PM,3:43:00 PM,3:58:00 PM,4:13:00 PM,4:28:00 PM,4:43:00 PM,4:58:00 PM,5:09:00 PM,5:13:00 PM,5:28:00 PM,5:43:00 PM,5:58:00 PM,6:02:00 PM,6:13:00 PM,6:28:00 PM,6:43:00 PM,6:58:00 PM,7:12:00 PM,7:23:00 PM,7:26:00 PM,7:38:00 PM,7:42:00 PM
