CITY CENTRE BUS TERMINAL PLATFORM K,5:40 AM[b],5:58 AM[b],6:16 AM[b],6:34 AM[b],6:54 AM[b],7:14 AM[b],7:32 AM[b],7:51 AM[b],8:13 AM[b],8:34 AM[b],8:54 AM[b],9:09 AM[b],9:29 AM[b],9:47 AM[b],10:03 AM[b],10:23 AM[b],10:44 AM[b],11:10 AM[b],11:35 AM[b],12:00 PM[b],12:25 PM[b],12:45 PM[b],1:13 PM[b],1:39 PM[b],2:06 PM[b],2:30 PM[b],2:51 PM[b],3:12 PM[b],3:32 PM[b],3:51 PM[b],4:13 PM[b],4:33 PM[b],4:56 PM[b],5:18 PM[b],5:39 PM[b],5:59 PM[b],6:18 PM[b],6:37 PM[b],6:56 PM[b],7:16 PM[b],7:37 PM[b],8:04 PM[b],8:28 PM[b],8:51 PM[b],9:15 PM[b],9:38 PM[b],10:07 PM[b],10:35 PM[b],11:03 PM[b],11:31 PM[b],11:59 PM[b],12:27:00 AM,12:55:00 AM,1:17:00 AM
HURONTARIO ST at ELIA AVE,5:44 AM[b],6:02 AM[b],6:20 AM[b],6:38 AM[b],6:58 AM[b],7:18 AM[b],7:36 AM[b],7:55 AM[b],8:17 AM[b],8:38 AM[b],8:58 AM[b],9:12 AM[b],9:32 AM[b],9:50 AM[b],10:06 AM[b],10:26 AM[b],10:47 AM[b],11:13 AM[b],11:38 AM[b],12:03 PM[b],12:28 PM[b],12:48 PM[b],1:16 PM[b],1:42 PM[b],2:10 PM[b],2:34 PM[b],2:55 PM[b],3:16 PM[b],3:36 PM[b],3:55 PM[b],4:17 PM[b],4:37 PM[b],5:00 PM[b],5:22 PM[b],5:43 PM[b],6:02 PM[b],6:21 PM[b],6:40 PM[b],6:59 PM[b],7:19 PM[b],7:40 PM[b],8:07 PM[b],8:31 PM[b],8:54 PM[b],9:18 PM[b],9:41 PM[b],10:10 PM[b],10:38 PM[b],11:06 PM[b],11:34 PM[b],12:02:00 AM,12:30:00 AM,12:58:00 AM,1:20:00 AM
EGLINTON AVE E at CENTRAL PKY E,5:49 AM[b],6:07 AM[b],6:25 AM[b],6:43 AM[b],7:03 AM[b],7:23 AM[b],7:41 AM[b],8:00 AM[b],8:22 AM[b],8:42 AM[b],9:02 AM[b],9:16 AM[b],9:35 AM[b],9:53 AM[b],10:09 AM[b],10:29 AM[b],10:50 AM[b],11:16 AM[b],11:42 AM[b],12:07 PM[b],12:32 PM[b],12:52 PM[b],1:20 PM[b],1:46 PM[b],2:14 PM[b],2:39 PM[b],3:00 PM[b],3:21 PM[b],3:41 PM[b],4:00 PM[b],4:22 PM[b],4:42 PM[b],5:05 PM[b],5:27 PM[b],5:47 PM[b],6:06 PM[b],6:25 PM[b],6:44 PM[b],7:02 PM[b],7:22 PM[b],7:43 PM[b],8:10 PM[b],8:34 PM[b],8:57 PM[b],9:21 PM[b],9:44 PM[b],10:13 PM[b],10:41 PM[b],11:09 PM[b],11:37 PM[b],12:05:00 AM,12:33:00 AM,1:01:00 AM,1:23:00 AM
EGLINTON AVE E at TOMKEN RD,5:52 AM[b],6:10 AM[b],6:28 AM[b],6:46 AM[b],7:06 AM[b],7:26 AM[b],7:44 AM[b],8:03 AM[b],8:25 AM[b],8:45 AM[b],9:05 AM[b],9:19 AM[b],9:38 AM[b],9:56 AM[b],10:12 AM[b],10:32 AM[b],10:53 AM[b],11:19 AM[b],11:45 AM[b],12:10 PM[b],12:35 PM[b],12:55 PM[b],1:23 PM[b],1:49 PM[b],2:17 PM[b],2:42 PM[b],3:03 PM[b],3:24 PM[b],3:44 PM[b],4:03 PM[b],4:25 PM[b],4:45 PM[b],5:08 PM[b],5:30 PM[b],5:50 PM[b],6:09 PM[b],6:28 PM[b],6:47 PM[b],7:05 PM[b],7:25 PM[b],7:46 PM[b],8:13 PM[b],8:37 PM[b],9:00 PM[b],9:24 PM[b],9:47 PM[b],10:16 PM[b],10:44 PM[b],11:11 PM[b],11:39 PM[b],12:07:00 AM,12:35:00 AM,1:03:00 AM,1:25:00 AM
EGLINTON AVE E at DIXIE RD,5:56 AM[b],6:14 AM[b],6:32 AM[b],6:50 AM[b],7:10 AM[b],7:30 AM[b],7:48 AM[b],8:07 AM[b],8:29 AM[b],8:48 AM[b],9:08 AM[b],9:22 AM[b],9:41 AM[b],9:59 AM[b],10:15 AM[b],10:35 AM[b],10:56 AM[b],11:22 AM[b],11:48 AM[b],12:14 PM[b],12:39 PM[b],12:59 PM[b],1:27 PM[b],1:53 PM[b],2:21 PM[b],2:46 PM[b],3:07 PM[b],3:28 PM[b],3:48 PM[b],4:08 PM[b],4:30 PM[b],4:50 PM[b],5:13 PM[b],5:35 PM[b],5:54 PM[b],6:12 PM[b],6:31 PM[b],6:50 PM[b],7:08 PM[b],7:28 PM[b],7:49 PM[b],8:16 PM[b],8:40 PM[b],9:03 PM[b],9:27 PM[b],9:50 PM[b],10:19 PM[b],10:47 PM[b],11:13 PM[b],11:41 PM[b],12:09:00 AM,12:37:00 AM,1:05:00 AM,1:27:00 AM
SKYMARK HUB,6:04 AM[b],6:22 AM[b],6:42 AM[b],7:00 AM[b],7:20 AM[b],7:41 AM[b],7:59 AM[b],8:18 AM[b],8:40 AM[b],8:59 AM[b],9:18 AM[b],9:32 AM[b],9:51 AM[b],10:09 AM[b],10:24 AM[b],10:44 AM[b],11:05 AM[b],11:31 AM[b],11:58 AM[b],12:24 PM[b],12:49 PM[b],1:09 PM[b],1:37 PM[b],2:03 PM[b],2:31 PM[b],2:57 PM[b],3:18 PM[b],3:39 PM[b],3:59 PM[b],4:20 PM[b],4:42 PM[b],5:02 PM[b],5:25 PM[b],5:47 PM[b],6:05 PM[b],6:22 PM[b],6:40 PM[b],6:59 PM[b],7:16 PM[b],7:36 PM[b],7:57 PM[b],8:24 PM[b],8:48 PM[b],9:11 PM[b],9:35 PM[b],9:58 PM[b],10:27 PM[b],10:55 PM[b],11:21 PM[b],11:49 PM[b],12:17:00 AM,12:45:00 AM,1:13:00 AM,1:35:00 AM
RENFORTH DR at EGLINTON AVE,6:07 AM[b],6:25 AM[b],6:45 AM[b],7:04 AM[b],7:24 AM[b],7:45 AM[b],8:03 AM[b],8:22 AM[b],8:44 AM[b],9:02 AM[b],9:21 AM[b],9:35 AM[b],9:54 AM[b],10:12 AM[b],10:27 AM[b],10:47 AM[b],11:08 AM[b],11:34 AM[b],12:01 PM[b],12:27 PM[b],12:52 PM[b],1:12 PM[b],1:40 PM[b],2:06 PM[b],2:35 PM[b],3:01 PM[b],3:22 PM[b],3:43 PM[b],4:04 PM[b],4:25 PM[b],4:48 PM[b],5:08 PM[b],5:31 PM[b],5:52 PM[b],6:09 PM[b],6:26 PM[b],6:43 PM[b],7:02 PM[b],7:19 PM[b],7:39 PM[b],8:00 PM[b],8:27 PM[b],8:51 PM[b],9:14 PM[b],9:38 PM[b],10:01 PM[b],10:30 PM[b],10:58 PM[b],11:24 PM[b],11:52 PM[b],12:20:00 AM,12:48:00 AM,1:16:00 AM,1:38:00 AM
CARLINGVIEW DR SECOND STOP north of METEOR DR,6:12 AM[b],6:30 AM[b],6:50 AM[b],7:09 AM[b],7:29 AM[b],7:50 AM[b],8:08 AM[b],8:27 AM[b],8:49 AM[b],9:07 AM[b],9:26 AM[b],9:39 AM[b],9:58 AM[b],10:16 AM[b],10:31 AM[b],10:51 AM[b],11:12 AM[b],11:38 AM[b],12:05 PM[b],12:31 PM[b],12:56 PM[b],1:16 PM[b],1:44 PM[b],2:10 PM[b],2:40 PM[b],3:06 PM[b],3:27 PM[b],3:48 PM[b],4:09 PM[b],4:30 PM[b],4:53 PM[b],5:13 PM[b],5:36 PM[b],5:57 PM[b],6:14 PM[b],6:31 PM[b],6:47 PM[b],7:06 PM[b],7:23 PM[b],7:43 PM[b],8:04 PM[b],8:31 PM[b],8:55 PM[b],9:18 PM[b],9:42 PM[b],10:05 PM[b],10:34 PM[b],11:02 PM[b],11:28 PM[b],11:56 PM[b],12:24:00 AM,12:52:00 AM,1:20:00 AM,1:42:00 AM
DIXON RD at CARLINGVIEW DR,6:13 AM[b],6:31 AM[b],6:51 AM[b],7:10 AM[b],7:30 AM[b],7:51 AM[b],8:09 AM[b],8:28 AM[b],8:50 AM[b],9:08 AM[b],9:27 AM[b],9:40 AM[b],9:59 AM[b],10:17 AM[b],10:32 AM[b],10:52 AM[b],11:13 AM[b],11:39 AM[b],12:06 PM[b],12:32 PM[b],12:57 PM[b],1:17 PM[b],1:45 PM[b],2:11 PM[b],2:41 PM[b],3:07 PM[b],3:28 PM[b],3:49 PM[b],4:10 PM[b],4:31 PM[b],4:54 PM[b],5:14 PM[b],5:37 PM[b],5:58 PM[b],6:15 PM[b],6:32 PM[b],6:48 PM[b],7:07 PM[b],7:24 PM[b],7:44 PM[b],8:05 PM[b],8:32 PM[b],8:56 PM[b],9:19 PM[b],9:43 PM[b],10:06 PM[b],10:35 PM[b],11:03 PM[b],11:29 PM[b],11:57 PM[b],12:25:00 AM,12:53:00 AM,1:21:00 AM,1:43:00 AM
TORONTO AIRPORT-TERM 1 GROUND LEVEL [NORTH],6:20 AM[b],6:38 AM[b],6:58 AM[b],7:17 AM[b],7:37 AM[b],7:58 AM[b],8:16 AM[b],8:35 AM[b],8:57 AM[b],9:15 AM[b],9:34 AM[b],9:47 AM[b],10:06 AM[b],10:24 AM[b],10:39 AM[b],10:59 AM[b],11:20 AM[b],11:46 AM[b],12:13 PM[b],12:39 PM[b],1:04 PM[b],1:24 PM[b],1:52 PM[b],2:18 PM[b],2:48 PM[b],3:14 PM[b],3:36 PM[b],3:57 PM[b],4:18 PM[b],4:39 PM[b],5:02 PM[b],5:22 PM[b],5:45 PM[b],6:05 PM[b],6:22 PM[b],6:39 PM[b],6:55 PM[b],7:14 PM[b],7:31 PM[b],7:51 PM[b],8:12 PM[b],8:39 PM[b],9:03 PM[b],9:26 PM[b],9:50 PM[b],10:13 PM[b],10:42 PM[b],11:10 PM[b],11:36 PM[b],12:04:00 AM,12:32:00 AM,1:00:00 AM,1:28:00 AM,1:50:00 AM
