WESTWOOD MALL BUS TERMINAL PLATFORM C,5:22 AM[b],5:31 AM[b],5:49 AM[b],6:07 AM[b],6:25 AM[b],6:44 AM[b],7:04 AM[b],7:24 AM[b],7:44 AM[b],8:02 AM[b],8:24 AM[b],8:44 AM[b],8:59 AM[b],9:21 AM[b],9:43 AM[b],10:10 AM[b],10:34 AM[b],11:00 AM[b],11:22 AM[b],11:44 AM[b],12:10 PM[b],12:36 PM[b],1:02 PM[b],1:27 PM[b],1:47 PM[b],2:07 PM[b],2:23 PM[b],2:43 PM[b],3:02 PM[b],3:21 PM[b],3:42 PM[b],4:03 PM[b],4:25 PM[b],4:47 PM[b],5:09 PM[b],5:31 PM[b],5:52 PM[b],6:12 PM[b],6:32 PM[b],6:50 PM[b],7:06 PM[b],7:26 PM[b],7:53 PM[b],8:17 PM[b],8:43 PM[b],9:09 PM[b],9:37 PM[b],10:05 PM[b],10:35 PM[b],11:05 PM[b],11:30 PM[b],11:58 PM[b],12:27:00 AM,12:56:00 AM,1:20:00 AM
MORNING STAR DR at AIRPORT RD,5:25 AM[b],5:34 AM[b],5:52 AM[b],6:10 AM[b],6:28 AM[b],6:47 AM[b],7:08 AM[b],7:28 AM[b],7:48 AM[b],8:06 AM[b],8:28 AM[b],8:48 AM[b],9:03 AM[b],9:25 AM[b],9:47 AM[b],10:13 AM[b],10:37 AM[b],11:04 AM[b],11:26 AM[b],11:48 AM[b],12:14 PM[b],12:40 PM[b],1:06 PM[b],1:31 PM[b],1:51 PM[b],2:11 PM[b],2:27 PM[b],2:47 PM[b],3:06 PM[b],3:25 PM[b],3:46 PM[b],4:07 PM[b],4:29 PM[b],4:51 PM[b],5:13 PM[b],5:35 PM[b],5:55 PM[b],6:15 PM[b],6:35 PM[b],6:53 PM[b],7:09 PM[b],7:29 PM[b],7:56 PM[b],8:20 PM[b],8:46 PM[b],9:12 PM[b],9:40 PM[b],10:08 PM[b],10:38 PM[b],11:08 PM[b],11:33 PM[b],12:01:00 AM,12:30:00 AM,12:59:00 AM,1:23:00 AM
AIRPORT RD at MORNING STAR DR,5:25 AM[b],5:34 AM[b],5:52 AM[b],6:10 AM[b],6:28 AM[b],6:47 AM[b],7:08 AM[b],7:29 AM[b],7:49 AM[b],8:07 AM[b],8:29 AM[b],8:49 AM[b],9:03 AM[b],9:25 AM[b],9:47 AM[b],10:13 AM[b],10:37 AM[b],11:04 AM[b],11:26 AM[b],11:48 AM[b],12:14 PM[b],12:40 PM[b],1:06 PM[b],1:31 PM[b],1:51 PM[b],2:11 PM[b],2:27 PM[b],2:47 PM[b],3:07 PM[b],3:26 PM[b],3:47 PM[b],4:08 PM[b],4:30 PM[b],4:52 PM[b],5:14 PM[b],5:36 PM[b],5:55 PM[b],6:15 PM[b],6:35 PM[b],6:53 PM[b],7:09 PM[b],7:29 PM[b],7:56 PM[b],8:20 PM[b],8:46 PM[b],9:12 PM[b],9:40 PM[b],10:08 PM[b],10:38 PM[b],11:08 PM[b],11:33 PM[b],12:01:00 AM,12:30:00 AM,12:59:00 AM,1:23:00 AM
AIRPORT RD south of DERRY RD,5:29 AM[b],5:38 AM[b],5:56 AM[b],6:14 AM[b],6:32 AM[b],6:51 AM[b],7:12 AM[b],7:33 AM[b],7:53 AM[b],8:11 AM[b],8:33 AM[b],8:53 AM[b],9:07 AM[b],9:29 AM[b],9:51 AM[b],10:17 AM[b],10:41 AM[b],11:08 AM[b],11:30 AM[b],11:52 AM[b],12:18 PM[b],12:44 PM[b],1:10 PM[b],1:35 PM[b],1:55 PM[b],2:15 PM[b],2:31 PM[b],2:51 PM[b],3:11 PM[b],3:30 PM[b],3:51 PM[b],4:12 PM[b],4:34 PM[b],4:56 PM[b],5:18 PM[b],5:40 PM[b],5:59 PM[b],6:19 PM[b],6:39 PM[b],6:57 PM[b],7:13 PM[b],7:33 PM[b],8:00 PM[b],8:24 PM[b],8:50 PM[b],9:16 PM[b],9:44 PM[b],10:12 PM[b],10:42 PM[b],11:12 PM[b],11:36 PM[b],12:04:00 AM,12:33:00 AM,1:02:00 AM,1:26:00 AM
AIRPORT RD at AMERICAN DR,5:32 AM[b],5:41 AM[b],5:59 AM[b],6:18 AM[b],6:36 AM[b],6:55 AM[b],7:16 AM[b],7:37 AM[b],7:57 AM[b],8:15 AM[b],8:37 AM[b],8:57 AM[b],9:11 AM[b],9:33 AM[b],9:55 AM[b],10:21 AM[b],10:45 AM[b],11:12 AM[b],11:34 AM[b],11:56 AM[b],12:22 PM[b],12:48 PM[b],1:14 PM[b],1:39 PM[b],1:59 PM[b],2:19 PM[b],2:35 PM[b],2:55 PM[b],3:16 PM[b],3:35 PM[b],3:56 PM[b],4:17 PM[b],4:38 PM[b],5:00 PM[b],5:22 PM[b],5:44 PM[b],6:03 PM[b],6:23 PM[b],6:43 PM[b],7:01 PM[b],7:16 PM[b],7:36 PM[b],8:03 PM[b],8:27 PM[b],8:53 PM[b],9:19 PM[b],9:47 PM[b],10:15 PM[b],10:45 PM[b],11:15 PM[b],11:39 PM[b],12:07:00 AM,12:36:00 AM,1:05:00 AM,1:29:00 AM
TORONTO AIRPORT-TERM 1 GROUND LEVEL [SOUTH],5:39 AM[b],5:48 AM[b],6:06 AM[b],6:25 AM[b],6:43 AM[b],7:02 AM[b],7:23 AM[b],7:44 AM[b],8:04 AM[b],8:22 AM[b],8:44 AM[b],9:04 AM[b],9:18 AM[b],9:40 AM[b],10:02 AM[b],10:27 AM[b],10:51 AM[b],11:18 AM[b],11:40 AM[b],12:02 PM[b],12:28 PM[b],12:55 PM[b],1:21 PM[b],1:46 PM[b],2:06 PM[b],2:26 PM[b],2:42 PM[b],3:02 PM[b],3:23 PM[b],3:42 PM[b],4:03 PM[b],4:25 PM[b],4:46 PM[b],5:08 PM[b],5:30 PM[b],5:51 PM[b],6:10 PM[b],6:30 PM[b],6:50 PM[b],7:08 PM[b],7:23 PM[b],7:43 PM[b],8:10 PM[b],8:34 PM[b],9:00 PM[b],9:26 PM[b],9:54 PM[b],10:22 PM[b],10:52 PM[b],11:22 PM[b],11:46 PM[b],12:14:00 AM,12:43:00 AM,1:12:00 AM,1:36:00 AM
DIXON RD east of HWY 427,5:42 AM[b],5:51 AM[b],6:10 AM[b],6:29 AM[b],6:47 AM[b],7:06 AM[b],7:27 AM[b],7:48 AM[b],8:08 AM[b],8:26 AM[b],8:48 AM[b],9:08 AM[b],9:22 AM[b],9:44 AM[b],10:06 AM[b],10:31 AM[b],10:55 AM[b],11:22 AM[b],11:44 AM[b],12:06 PM[b],12:32 PM[b],12:59 PM[b],1:25 PM[b],1:50 PM[b],2:10 PM[b],2:30 PM[b],2:46 PM[b],3:06 PM[b],3:27 PM[b],3:46 PM[b],4:07 PM[b],4:29 PM[b],4:50 PM[b],5:12 PM[b],5:34 PM[b],5:55 PM[b],6:14 PM[b],6:34 PM[b],6:54 PM[b],7:12 PM[b],7:27 PM[b],7:47 PM[b],8:14 PM[b],8:38 PM[b],9:03 PM[b],9:29 PM[b],9:57 PM[b],10:25 PM[b],10:55 PM[b],11:25 PM[b],11:49 PM[b],12:17:00 AM,12:46:00 AM,1:15:00 AM,1:39:00 AM
DIXON RD at CARLINGVIEW DR,5:42 AM[b],5:51 AM[b],6:11 AM[b],6:30 AM[b],6:48 AM[b],7:07 AM[b],7:28 AM[b],7:49 AM[b],8:09 AM[b],8:27 AM[b],8:49 AM[b],9:09 AM[b],9:23 AM[b],9:45 AM[b],10:06 AM[b],10:31 AM[b],10:55 AM[b],11:22 AM[b],11:44 AM[b],12:06 PM[b],12:32 PM[b],12:59 PM[b],1:25 PM[b],1:50 PM[b],2:10 PM[b],2:30 PM[b],2:46 PM[b],3:07 PM[b],3:28 PM[b],3:47 PM[b],4:08 PM[b],4:30 PM[b],4:51 PM[b],5:13 PM[b],5:35 PM[b],5:56 PM[b],6:14 PM[b],6:34 PM[b],6:54 PM[b],7:12 PM[b],7:27 PM[b],7:47 PM[b],8:14 PM[b],8:38 PM[b],9:03 PM[b],9:29 PM[b],9:57 PM[b],10:25 PM[b],10:55 PM[b],11:25 PM[b],11:49 PM[b],12:17:00 AM,12:46:00 AM,1:15:00 AM,1:39:00 AM
SKYMARK HUB,5:48 AM[b],5:57 AM[b],6:18 AM[b],6:37 AM[b],6:55 AM[b],7:14 AM[b],7:36 AM[b],7:57 AM[b],8:17 AM[b],8:35 AM[b],8:57 AM[b],9:17 AM[b],9:31 AM[b],9:53 AM[b],10:13 AM[b],10:38 AM[b],11:02 AM[b],11:29 AM[b],11:51 AM[b],12:13 PM[b],12:39 PM[b],1:06 PM[b],1:32 PM[b],1:57 PM[b],2:17 PM[b],2:37 PM[b],2:53 PM[b],3:14 PM[b],3:35 PM[b],3:54 PM[b],4:16 PM[b],4:39 PM[b],5:00 PM[b],5:22 PM[b],5:44 PM[b],6:03 PM[b],6:20 PM[b],6:40 PM[b],7:00 PM[b],7:18 PM[b],7:33 PM[b],7:53 PM[b],8:20 PM[b],8:44 PM[b],9:09 PM[b],9:35 PM[b],10:03 PM[b],10:31 PM[b],11:01 PM[b],11:31 PM[b],11:55 PM[b],12:23:00 AM,12:52:00 AM,1:21:00 AM,1:45:00 AM
EGLINTON AVE at DIXIE RD,5:57 AM[b],6:06 AM[b],6:27 AM[b],6:46 AM[b],7:04 AM[b],7:24 AM[b],7:47 AM[b],8:08 AM[b],8:28 AM[b],8:46 AM[b],9:07 AM[b],9:27 AM[b],9:41 AM[b],10:03 AM[b],10:23 AM[b],10:48 AM[b],11:12 AM[b],11:39 AM[b],12:01 PM[b],12:23 PM[b],12:50 PM[b],1:17 PM[b],1:43 PM[b],2:08 PM[b],2:28 PM[b],2:48 PM[b],3:04 PM[b],3:26 PM[b],3:47 PM[b],4:06 PM[b],4:28 PM[b],4:52 PM[b],5:13 PM[b],5:35 PM[b],5:56 PM[b],6:14 PM[b],6:31 PM[b],6:51 PM[b],7:10 PM[b],7:28 PM[b],7:43 PM[b],8:03 PM[b],8:30 PM[b],8:54 PM[b],9:19 PM[b],9:45 PM[b],10:13 PM[b],10:41 PM[b],11:11 PM[b],11:41 PM[b],12:05:00 AM,12:33:00 AM,1:02:00 AM,1:31:00 AM,1:55:00 AM
