SKYMARK HUB,4:06:00 PM,4:29:00 PM,4:51:00 PM,5:16:00 PM,5:36:00 PM,5:57:00 PM,6:18:00 PM,6:39:00 PM,7:01:00 PM,7:18:00 PM,7:39:00 PM,7:58:00 PM
EGLINTON AVE at ORBITOR DR,4:09:00 PM,4:32:00 PM,4:54:00 PM,5:19:00 PM,5:39:00 PM,6:00:00 PM,6:21:00 PM,6:42:00 PM,7:04:00 PM,7:21:00 PM,7:42:00 PM,8:01:00 PM
EGLINTON AVE at DIXIE RD,4:15:00 PM,4:38:00 PM,5:00:00 PM,5:25:00 PM,5:44:00 PM,6:05:00 PM,6:26:00 PM,6:47:00 PM,7:09:00 PM,7:26:00 PM,7:47:00 PM,8:06:00 PM
EGLINTON AVE east of HWY 403,4:19:00 PM,4:42:00 PM,5:04:00 PM,5:29:00 PM,5:47:00 PM,6:08:00 PM,6:29:00 PM,6:50:00 PM,7:12:00 PM,7:29:00 PM,7:50:00 PM,8:09:00 PM
EGLINTON AVE at HURONTARIO ST,4:27:00 PM,4:50:00 PM,5:12:00 PM,5:37:00 PM,5:54:00 PM,6:15:00 PM,6:35:00 PM,6:56:00 PM,7:18:00 PM,7:35:00 PM,7:56:00 PM,8:15:00 PM
EGLINTON AVE at MAVIS RD,4:32:00 PM,4:55:00 PM,5:17:00 PM,5:42:00 PM,5:59:00 PM,6:20:00 PM,6:39:00 PM,7:00:00 PM,7:22:00 PM,7:39:00 PM,8:00:00 PM,8:19:00 PM
EGLINTON AVE at CREDITVIEW RD,4:37:00 PM,5:00:00 PM,5:22:00 PM,5:47:00 PM,6:04:00 PM,6:25:00 PM,6:44:00 PM,7:05:00 PM,7:27:00 PM,7:44:00 PM,8:05:00 PM,8:24:00 PM
CREDITVIEW RD at BRISTOL RD,4:39:00 PM,5:02:00 PM,5:24:00 PM,5:49:00 PM,6:06:00 PM,6:27:00 PM,6:46:00 PM,7:07:00 PM,7:29:00 PM,7:46:00 PM,8:07:00 PM,8:26:00 PM
BRITANNIA RD at CREDITVIEW RD,4:43:00 PM,5:06:00 PM,5:28:00 PM,5:53:00 PM,6:10:00 PM,6:31:00 PM,6:50:00 PM,7:11:00 PM,7:33:00 PM,7:50:00 PM,8:11:00 PM,8:30:00 PM
BRITANNIA RD at QUEEN ST N,4:46:00 PM,5:09:00 PM,5:31:00 PM,5:55:00 PM,6:12:00 PM,6:33:00 PM,6:52:00 PM,7:13:00 PM,7:35:00 PM,7:52:00 PM,8:13:00 PM,8:32:00 PM
BRITANNIA RD at WINSTON CHURCHILL BLVD,4:52:00 PM,5:15:00 PM,5:37:00 PM,6:01:00 PM,6:18:00 PM,6:39:00 PM,6:58:00 PM,7:19:00 PM,7:41:00 PM,7:58:00 PM,8:19:00 PM,8:38:00 PM
MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM I,4:59:00 PM,5:22:00 PM,5:44:00 PM,6:08:00 PM,6:24:00 PM,6:45:00 PM,7:04:00 PM,7:25:00 PM,7:47:00 PM,8:04:00 PM,8:25:00 PM,8:44:00 PM
