MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM I,4:59:00 AM,5:19:00 AM,5:33:00 AM,5:52:00 AM,6:12:00 AM,6:35:00 AM,6:57:00 AM,7:20:00 AM,7:38:00 AM,7:59:00 AM,8:21:00 AM,8:40:00 AM,9:02:00 AM
BRITANNIA RD at WINSTON CHURCHILL BLVD,5:05:00 AM,5:25:00 AM,5:39:00 AM,5:58:00 AM,6:18:00 AM,6:42:00 AM,7:04:00 AM,7:27:00 AM,7:45:00 AM,8:06:00 AM,8:28:00 AM,8:47:00 AM,9:09:00 AM
BRITANNIA RD at ARCH RD,5:11:00 AM,5:31:00 AM,5:46:00 AM,6:05:00 AM,6:26:00 AM,6:50:00 AM,7:12:00 AM,7:35:00 AM,7:53:00 AM,8:14:00 AM,8:35:00 AM,8:54:00 AM,9:16:00 AM
BRITANNIA RD at CREDITVIEW RD,5:13:00 AM,5:33:00 AM,5:48:00 AM,6:07:00 AM,6:28:00 AM,6:52:00 AM,7:15:00 AM,7:38:00 AM,7:55:00 AM,8:16:00 AM,8:37:00 AM,8:56:00 AM,9:18:00 AM
CREDITVIEW RD at HIGHBROOK AVE,5:14:00 AM,5:34:00 AM,5:49:00 AM,6:08:00 AM,6:29:00 AM,6:53:00 AM,7:16:00 AM,7:39:00 AM,7:56:00 AM,8:17:00 AM,8:38:00 AM,8:57:00 AM,9:19:00 AM
CREDITVIEW RD at BRISTOL RD,5:17:00 AM,5:37:00 AM,5:52:00 AM,6:11:00 AM,6:32:00 AM,6:56:00 AM,7:19:00 AM,7:42:00 AM,7:59:00 AM,8:20:00 AM,8:41:00 AM,9:00:00 AM,9:21:00 AM
EGLINTON AVE W east of CREDITVIEW RD,5:20:00 AM,5:40:00 AM,5:55:00 AM,6:14:00 AM,6:36:00 AM,7:00:00 AM,7:23:00 AM,7:46:00 AM,8:03:00 AM,8:24:00 AM,8:45:00 AM,9:04:00 AM,9:25:00 AM
EGLINTON AVE W at MAVIS RD,5:24:00 AM,5:44:00 AM,5:59:00 AM,6:18:00 AM,6:40:00 AM,7:04:00 AM,7:27:00 AM,7:50:00 AM,8:07:00 AM,8:28:00 AM,8:49:00 AM,9:08:00 AM,9:29:00 AM
EGLINTON AVE E east of HURONTARIO ST,5:30:00 AM,5:50:00 AM,6:05:00 AM,6:24:00 AM,6:46:00 AM,7:10:00 AM,7:33:00 AM,7:56:00 AM,8:13:00 AM,8:33:00 AM,8:54:00 AM,9:13:00 AM,9:34:00 AM
EGLINTON AVE E at TOMKEN RD,5:35:00 AM,5:55:00 AM,6:10:00 AM,6:30:00 AM,6:52:00 AM,7:16:00 AM,7:39:00 AM,8:02:00 AM,8:19:00 AM,8:38:00 AM,8:59:00 AM,9:18:00 AM,9:39:00 AM
EGLINTON AVE E at DIXIE RD,5:37:00 AM,5:58:00 AM,6:13:00 AM,6:33:00 AM,6:55:00 AM,7:19:00 AM,7:42:00 AM,8:05:00 AM,8:22:00 AM,8:41:00 AM,9:02:00 AM,9:21:00 AM,9:42:00 AM
EGLINTON AVE at CENTENNIAL PARK BLVD,5:42:00 AM,6:03:00 AM,6:18:00 AM,6:39:00 AM,7:01:00 AM,7:25:00 AM,7:48:00 AM,8:11:00 AM,8:28:00 AM,8:47:00 AM,9:07:00 AM,9:26:00 AM,9:47:00 AM
SKYMARK HUB,5:44:00 AM,6:05:00 AM,6:20:00 AM,6:41:00 AM,7:03:00 AM,7:27:00 AM,7:50:00 AM,8:13:00 AM,8:30:00 AM,8:49:00 AM,9:09:00 AM,9:28:00 AM,9:49:00 AM
