PORT CREDIT GO STATION PLATFORM E,5:22:00 AM,5:46:00 AM,6:07:00 AM,6:25:00 AM,6:45:00 AM,7:04:00 AM,7:18:00 AM,7:38:00 AM,7:56:00 AM,8:16:00 AM,8:35 AM[b],8:54 AM[b],9:13 AM[b],9:27 AM[b],9:49 AM[b],10:21 AM[b],10:51 AM[b],11:19 AM[b],11:47 AM[b],12:15 PM[b],12:43 PM[b],1:11 PM[b],1:39 PM[b],2:10 PM[b],2:35 PM[b],2:55 PM[b],3:05 PM[G],3:05 PM[G],3:11 PM[b],3:29 PM[b],3:48 PM[b],4:07 PM[b],4:25 PM[b],4:45 PM[b],5:04 PM[b],5:23:00 PM,5:45:00 PM,6:01:00 PM,6:17:00 PM,6:37:00 PM,6:54:00 PM,7:11:00 PM,7:25:00 PM,7:42:00 PM,8:20:00 PM,8:58:00 PM,9:36:00 PM,10:14:00 PM,10:52:00 PM,,,
HURONTARIO ST at MINEOLA RD E,5:26:00 AM,5:50:00 AM,6:12:00 AM,6:30:00 AM,6:50:00 AM,7:09:00 AM,7:24:00 AM,7:44:00 AM,8:03:00 AM,8:23:00 AM,8:41 AM[b],9:00 AM[b],9:18 AM[b],9:32 AM[b],9:54 AM[b],10:26 AM[b],10:56 AM[b],11:24 AM[b],11:52 AM[b],12:20 PM[b],12:48 PM[b],1:16 PM[b],1:44 PM[b],2:15 PM[b],2:40 PM[b],3:01 PM[b],3:09 PM[G],3:09 PM[G],3:17 PM[b],3:36 PM[b],3:54 PM[b],4:13 PM[b],4:31 PM[b],4:51 PM[b],5:10 PM[b],5:29:00 PM,5:51:00 PM,6:07:00 PM,6:23:00 PM,6:42:00 PM,6:59:00 PM,7:16:00 PM,7:30:00 PM,7:47:00 PM,8:25:00 PM,9:03:00 PM,9:41:00 PM,10:19:00 PM,10:57:00 PM,,,
CAWTHRA RD north of DEXTER CRES (south leg),5:32:00 AM,5:56:00 AM,6:18:00 AM,6:36:00 AM,6:56:00 AM,7:15:00 AM,7:31:00 AM,7:51:00 AM,8:10:00 AM,8:30:00 AM,8:47 AM[b],9:06 AM[b],9:24 AM[b],9:38 AM[b],10:00 AM[b],10:32 AM[b],11:02 AM[b],11:30 AM[b],11:58 AM[b],12:26 PM[b],12:54 PM[b],1:22 PM[b],1:50 PM[b],2:21 PM[b],2:47 PM[b],3:08 PM[b],3:10 PM[G],3:11 PM[G],3:13 PM[G],3:15 PM[G],3:15 PM[G],3:24 PM[b],3:43 PM[b],4:01 PM[b],4:20 PM[b],4:38 PM[b],4:58 PM[b],5:17 PM[b],5:35:00 PM,5:57:00 PM,6:13:00 PM,6:29:00 PM,6:48:00 PM,7:05:00 PM,7:22:00 PM,7:36:00 PM,7:53:00 PM,8:31:00 PM,9:09:00 PM,9:47:00 PM,10:25:00 PM,11:03:00 PM
CAWTHRA RD at ARBOR CRT,5:32:00 AM,5:56:00 AM,6:18:00 AM,6:36:00 AM,6:56:00 AM,7:15:00 AM,7:32:00 AM,7:52:00 AM,8:11:00 AM,8:31:00 AM,8:48 AM[b],9:07 AM[b],9:25 AM[b],9:39 AM[b],10:01 AM[b],10:33 AM[b],11:03 AM[b],11:31 AM[b],11:59 AM[b],12:27 PM[b],12:55 PM[b],1:23 PM[b],1:51 PM[b],2:22 PM[b],2:48 PM[b],3:09 PM[b],3:10 PM[G],3:11 PM[G],3:13 PM[G],3:16 PM[G],3:16 PM[G],3:25 PM[b],3:44 PM[b],4:02 PM[b],4:21 PM[b],4:39 PM[b],4:59 PM[b],5:18 PM[b],5:36:00 PM,5:58:00 PM,6:14:00 PM,6:29:00 PM,6:48:00 PM,7:05:00 PM,7:22:00 PM,7:36:00 PM,7:53:00 PM,8:31:00 PM,9:09:00 PM,9:47:00 PM,10:25:00 PM,11:03:00 PM
CAWTHRA SENIORS BLDG at ARBOR CRT,8:48 AM[b],9:07 AM[b],9:25 AM[b],9:39 AM[b],10:01 AM[b],10:33 AM[b],11:03 AM[b],11:31 AM[b],11:59 AM[b],12:27 PM[b],12:55 PM[b],1:23 PM[b],1:51 PM[b],2:22 PM[b],2:48 PM[b],3:09 PM[b],3:25 PM[b],3:44 PM[b],4:02 PM[b],4:21 PM[b],4:39 PM[b],4:59 PM[b],5:18 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAWTHRA RD at NORTH SERVICE RD,5:35:00 AM,5:59:00 AM,6:21:00 AM,6:39:00 AM,6:59:00 AM,7:18:00 AM,7:35:00 AM,7:55:00 AM,8:14:00 AM,8:34:00 AM,8:52 AM[b],9:11 AM[b],9:29 AM[b],9:43 AM[b],10:05 AM[b],10:37 AM[b],11:07 AM[b],11:35 AM[b],12:03 PM[b],12:31 PM[b],12:59 PM[b],1:27 PM[b],1:55 PM[b],2:27 PM[b],2:53 PM[b],3:14 PM[b],3:13 PM[G],3:14 PM[G],3:16 PM[G],3:19 PM[G],3:19 PM[G],3:30 PM[b],3:49 PM[b],4:07 PM[b],4:26 PM[b],4:44 PM[b],5:04 PM[b],5:23 PM[b],5:39:00 PM,6:01:00 PM,6:17:00 PM,6:32:00 PM,6:51:00 PM,7:08:00 PM,7:25:00 PM,7:39:00 PM,7:56:00 PM,8:34:00 PM,9:12:00 PM,9:50:00 PM,10:28:00 PM,11:06:00 PM
CAWTHRA RD at DUNDAS ST,5:39:00 AM,6:03:00 AM,6:25:00 AM,6:43:00 AM,7:04:00 AM,7:23:00 AM,7:40:00 AM,8:00:00 AM,8:19:00 AM,8:39:00 AM,8:56 AM[b],9:15 AM[b],9:33 AM[b],9:47 AM[b],10:09 AM[b],10:41 AM[b],11:11 AM[b],11:39 AM[b],12:07 PM[b],12:35 PM[b],1:03 PM[b],1:31 PM[b],2:00 PM[b],2:32 PM[b],2:58 PM[b],3:19 PM[b],3:18 PM[G],3:19 PM[G],3:21 PM[G],3:24 PM[G],3:24 PM[G],3:35 PM[b],3:54 PM[b],4:12 PM[b],4:31 PM[b],4:49 PM[b],5:09 PM[b],5:28 PM[b],5:43:00 PM,6:05:00 PM,6:21:00 PM,6:36:00 PM,6:55:00 PM,7:12:00 PM,7:29:00 PM,7:43:00 PM,8:00:00 PM,8:38:00 PM,9:16:00 PM,9:54:00 PM,10:32:00 PM,11:10:00 PM
BLOOR ST at MISSISSAUGA VALLEY BLVD,5:42:00 AM,6:06:00 AM,6:28:00 AM,6:47:00 AM,7:08:00 AM,7:27:00 AM,7:44:00 AM,8:04:00 AM,8:23:00 AM,8:43:00 AM,8:59 AM[b],9:18 AM[b],9:36 AM[b],9:50 AM[b],10:12 AM[b],10:44 AM[b],11:14 AM[b],11:42 AM[b],12:10 PM[b],12:38 PM[b],1:06 PM[b],1:34 PM[b],2:04 PM[b],2:36 PM[b],3:02 PM[b],3:23 PM[b],3:22 PM[G],3:23 PM[G],3:25 PM[G],3:27 PM[G],3:27 PM[G],3:39 PM[b],3:58 PM[b],4:16 PM[b],4:35 PM[b],4:53 PM[b],5:13 PM[b],5:32 PM[b],5:47:00 PM,6:09:00 PM,6:25:00 PM,6:40:00 PM,6:58:00 PM,7:15:00 PM,7:32:00 PM,7:46:00 PM,8:03:00 PM,8:41:00 PM,9:19:00 PM,9:57:00 PM,10:35:00 PM,11:13:00 PM
ELM DR E at HURONTARIO ST,5:48:00 AM,6:12:00 AM,6:34:00 AM,6:53:00 AM,7:14:00 AM,7:34:00 AM,7:51:00 AM,8:11:00 AM,8:30:00 AM,8:50:00 AM,9:05 AM[b],9:24 AM[b],9:42 AM[b],9:56 AM[b],10:18 AM[b],10:50 AM[b],11:20 AM[b],11:48 AM[b],12:16 PM[b],12:44 PM[b],1:12 PM[b],1:40 PM[b],2:10 PM[b],2:42 PM[b],3:08 PM[b],3:29 PM[b],3:28 PM[G],3:29 PM[G],3:31 PM[G],3:34 PM[G],3:34 PM[G],3:45 PM[b],4:04 PM[b],4:22 PM[b],4:41 PM[b],4:59 PM[b],5:19 PM[b],5:38 PM[b],5:53:00 PM,6:15:00 PM,6:31:00 PM,6:46:00 PM,7:04:00 PM,7:21:00 PM,7:38:00 PM,7:52:00 PM,8:09:00 PM,8:46:00 PM,9:24:00 PM,10:02:00 PM,10:40:00 PM,11:18:00 PM
CITY CENTRE BUS TERMINAL PLATFORM J,5:55:00 AM,6:19:00 AM,6:41:00 AM,7:01:00 AM,7:22:00 AM,7:42:00 AM,7:59:00 AM,8:19:00 AM,8:38:00 AM,8:58:00 AM,9:13 AM[b],9:32 AM[b],9:50 AM[b],10:04 AM[b],10:26 AM[b],10:58 AM[b],11:28 AM[b],11:56 AM[b],12:24 PM[b],12:52 PM[b],1:20 PM[b],1:48 PM[b],2:18 PM[b],2:50 PM[b],3:16 PM[b],3:37 PM[b],3:53 PM[b],4:12 PM[b],4:30 PM[b],4:49 PM[b],5:07 PM[b],5:27 PM[b],5:46 PM[b],6:00:00 PM,6:22:00 PM,6:38:00 PM,6:53:00 PM,7:11:00 PM,7:28:00 PM,7:45:00 PM,7:58:00 PM,8:15:00 PM,8:52:00 PM,9:30:00 PM,10:08:00 PM,10:46:00 PM,11:24:00 PM,,,,,
