CITY CENTRE BUS TERMINAL PLATFORM J,5:30:00 AM,5:47:00 AM,6:00:00 AM,6:22:00 AM,6:34:00 AM,6:53:00 AM,7:11:00 AM,7:29:00 AM,7:48:00 AM,7:53 AM[G],8:03:00 AM,8:26 AM[b],8:45 AM[b],9:02 AM[b],9:22 AM[b],9:41 AM[b],10:11 AM[b],10:39 AM[b],11:04 AM[b],11:35 AM[b],12:03 PM[b],12:31 PM[b],12:59 PM[b],1:27 PM[b],1:55 PM[b],2:23 PM[b],2:42 PM[b],2:54 PM[b],3:20 PM[b],3:41 PM[b],4:00 PM[b],4:17 PM[b],4:36 PM[b],4:56 PM[b],5:14:00 PM,5:33:00 PM,5:55:00 PM,6:09:00 PM,6:27:00 PM,6:44:00 PM,7:04:00 PM,7:42:00 PM,8:20:00 PM,8:58:00 PM,9:36:00 PM,10:13:00 PM,10:51:00 PM,
ELM DR at KARIYA DR,5:36:00 AM,5:53:00 AM,6:06:00 AM,6:28:00 AM,6:40:00 AM,7:00:00 AM,7:19:00 AM,7:37:00 AM,7:56:00 AM,8:01 AM[G],8:11:00 AM,8:33 AM[b],8:52 AM[b],9:09 AM[b],9:29 AM[b],9:48 AM[b],10:18 AM[b],10:46 AM[b],11:11 AM[b],11:42 AM[b],12:10 PM[b],12:38 PM[b],1:06 PM[b],1:34 PM[b],2:02 PM[b],2:30 PM[b],2:50 PM[b],3:02 PM[b],3:28 PM[b],3:49 PM[b],4:08 PM[b],4:25 PM[b],4:44 PM[b],5:04 PM[b],5:23:00 PM,5:42:00 PM,6:03:00 PM,6:17:00 PM,6:35:00 PM,6:52:00 PM,7:12:00 PM,7:49:00 PM,8:27:00 PM,9:05:00 PM,9:43:00 PM,10:20:00 PM,10:58:00 PM,
ELM DR at HURONTARIO ST,5:36:00 AM,5:53:00 AM,6:06:00 AM,6:28:00 AM,6:40:00 AM,7:00:00 AM,7:19:00 AM,7:37:00 AM,7:56:00 AM,8:01 AM[G],8:11:00 AM,8:34 AM[b],8:53 AM[b],9:10 AM[b],9:30 AM[b],9:49 AM[b],10:19 AM[b],10:46 AM[b],11:11 AM[b],11:42 AM[b],12:10 PM[b],12:38 PM[b],1:06 PM[b],1:34 PM[b],2:03 PM[b],2:31 PM[b],2:51 PM[b],3:03 PM[b],3:29 PM[b],3:50 PM[b],4:09 PM[b],4:26 PM[b],4:45 PM[b],5:05 PM[b],5:23:00 PM,5:42:00 PM,6:03:00 PM,6:17:00 PM,6:35:00 PM,6:52:00 PM,7:12:00 PM,7:49:00 PM,8:27:00 PM,9:05:00 PM,9:43:00 PM,10:20:00 PM,10:58:00 PM,
BLOOR ST at MISSISSAUGA VALLEY BLVD,5:42:00 AM,5:59:00 AM,6:13:00 AM,6:35:00 AM,6:47:00 AM,7:07:00 AM,7:26:00 AM,7:45:00 AM,8:04:00 AM,8:09 AM[G],8:19:00 AM,8:41 AM[b],8:59 AM[b],9:16 AM[b],9:36 AM[b],9:55 AM[b],10:25 AM[b],10:52 AM[b],11:17 AM[b],11:48 AM[b],12:16 PM[b],12:44 PM[b],1:12 PM[b],1:40 PM[b],2:09 PM[b],2:38 PM[b],2:58 PM[b],3:10 PM[b],3:36 PM[b],3:57 PM[b],4:16 PM[b],4:33 PM[b],4:52 PM[b],5:12 PM[b],5:31:00 PM,5:50:00 PM,6:11:00 PM,6:25:00 PM,6:43:00 PM,6:59:00 PM,7:19:00 PM,7:56:00 PM,8:34:00 PM,9:12:00 PM,9:50:00 PM,10:27:00 PM,11:05:00 PM,
CAWTHRA RD at DUNDAS ST,5:45:00 AM,6:02:00 AM,6:16:00 AM,6:38:00 AM,6:50:00 AM,7:10:00 AM,7:30:00 AM,7:49:00 AM,8:08:00 AM,8:13 AM[G],8:23:00 AM,8:44 AM[b],9:02 AM[b],9:19 AM[b],9:39 AM[b],9:58 AM[b],10:28 AM[b],10:55 AM[b],11:20 AM[b],11:51 AM[b],12:19 PM[b],12:47 PM[b],1:15 PM[b],1:43 PM[b],2:12 PM[b],2:41 PM[b],3:01 PM[b],3:13 PM[b],3:40 PM[b],4:01 PM[b],4:20 PM[b],4:37 PM[b],4:56 PM[b],5:16 PM[b],5:35:00 PM,5:54:00 PM,6:15:00 PM,6:29:00 PM,6:47:00 PM,7:02:00 PM,7:22:00 PM,7:59:00 PM,8:37:00 PM,9:15:00 PM,9:53:00 PM,10:30:00 PM,11:08:00 PM,
CAWTHRA RD at NORTH SERVICE RD,5:50:00 AM,6:07:00 AM,6:21:00 AM,6:43:00 AM,6:55:00 AM,7:15:00 AM,7:35:00 AM,7:54:00 AM,8:13:00 AM,8:18 AM[G],8:28:00 AM,8:48 AM[b],9:06 AM[b],9:23 AM[b],9:43 AM[b],10:02 AM[b],10:32 AM[b],10:59 AM[b],11:24 AM[b],11:55 AM[b],12:23 PM[b],12:51 PM[b],1:19 PM[b],1:47 PM[b],2:16 PM[b],2:45 PM[b],3:06 PM[b],3:18 PM[b],3:45 PM[b],4:06 PM[b],4:25 PM[b],4:42 PM[b],5:01 PM[b],5:21 PM[b],5:40:00 PM,5:58:00 PM,6:19:00 PM,6:33:00 PM,6:51:00 PM,7:06:00 PM,7:26:00 PM,8:03:00 PM,8:41:00 PM,9:19:00 PM,9:57:00 PM,10:33:00 PM,11:11:00 PM,
CAWTHRA SENIORS BLDG at ARBOR CRT,8:51 AM[b],9:09 AM[b],9:26 AM[b],9:46 AM[b],10:05 AM[b],10:35 AM[b],11:02 AM[b],11:27 AM[b],11:58 AM[b],12:26 PM[b],12:54 PM[b],1:22 PM[b],1:50 PM[b],2:19 PM[b],2:48 PM[b],3:09 PM[b],3:21 PM[b],3:48 PM[b],4:09 PM[b],4:28 PM[b],4:45 PM[b],5:04 PM[b],5:24 PM[b],,,,,,,,,,,,,,,,,,,,,,,,,
CAWTHRA RD at ARBOR RD,5:53:00 AM,6:10:00 AM,6:24:00 AM,6:46:00 AM,6:58:00 AM,7:18:00 AM,7:38:00 AM,7:57:00 AM,8:16:00 AM,8:21 AM[G],8:31:00 AM,8:53 AM[b],9:11 AM[b],9:28 AM[b],9:48 AM[b],10:07 AM[b],10:37 AM[b],11:04 AM[b],11:29 AM[b],12:00 PM[b],12:28 PM[b],12:56 PM[b],1:24 PM[b],1:52 PM[b],2:21 PM[b],2:50 PM[b],3:11 PM[b],3:15 PM[G],3:23 PM[b],3:50 PM[b],4:11 PM[b],4:30 PM[b],4:47 PM[b],5:06 PM[b],5:26 PM[b],5:43:00 PM,6:01:00 PM,6:22:00 PM,6:36:00 PM,6:54:00 PM,7:09:00 PM,7:29:00 PM,8:06:00 PM,8:43:00 PM,9:21:00 PM,9:59:00 PM,10:35:00 PM,11:13:00 PM
MINEOLA RD at HURONTARIO ST,5:59:00 AM,6:16:00 AM,6:30:00 AM,6:53:00 AM,7:05:00 AM,7:25:00 AM,7:45:00 AM,8:04:00 AM,8:23:00 AM,8:28 AM[G],8:38:00 AM,8:59 AM[b],9:17 AM[b],9:34 AM[b],9:54 AM[b],10:13 AM[b],10:43 AM[b],11:10 AM[b],11:35 AM[b],12:06 PM[b],12:34 PM[b],1:02 PM[b],1:30 PM[b],1:58 PM[b],2:27 PM[b],2:56 PM[b],3:17 PM[b],3:20 PM[G],3:29 PM[b],3:56 PM[b],4:17 PM[b],4:36 PM[b],4:53 PM[b],5:12 PM[b],5:32 PM[b],5:48:00 PM,6:06:00 PM,6:27:00 PM,6:41:00 PM,6:59:00 PM,7:14:00 PM,7:34:00 PM,8:11:00 PM,8:48:00 PM,9:26:00 PM,10:04:00 PM,10:40:00 PM,11:18:00 PM
PORT CREDIT GO STATION PLATFORM E,6:04:00 AM,6:21:00 AM,6:36:00 AM,6:59:00 AM,7:11:00 AM,7:31:00 AM,7:51:00 AM,8:10:00 AM,8:29:00 AM,8:34 AM[G],8:44:00 AM,9:04 AM[b],9:22 AM[b],9:39 AM[b],9:59 AM[b],10:18 AM[b],10:48 AM[b],11:15 AM[b],11:40 AM[b],12:11 PM[b],12:39 PM[b],1:07 PM[b],1:35 PM[b],2:03 PM[b],2:32 PM[b],3:01 PM[b],3:22 PM[b],3:24 PM[G],3:34 PM[b],4:01 PM[b],4:22 PM[b],4:41 PM[b],4:58 PM[b],5:17 PM[b],5:37 PM[b],5:53:00 PM,6:11:00 PM,6:32:00 PM,6:46:00 PM,7:04:00 PM,7:18:00 PM,7:38:00 PM,8:15:00 PM,8:52:00 PM,9:30:00 PM,10:08:00 PM,10:44:00 PM,11:22:00 PM
