MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM G,6:12 AM[c],6:33 AM[c],6:55 AM[c],7:15 AM[c],7:40 AM[c],7:59 AM[c],8:26 AM[b],9:06 AM[b],9:46 AM[b],10:26 AM[b],11:06 AM[b],11:46 AM[b],12:26 PM[b],1:06 PM[b],1:46 PM[b],2:26 PM[b],2:47 PM[b],3:09 PM[b],3:29 PM[b],3:50 PM[b],4:11 PM[b],4:32 PM[b],4:57 PM[c],5:23 PM[c],5:38 PM[c],5:57 PM[d],6:08 PM[c],6:28 PM[c],7:08 PM[c],7:30 PM[b],7:53 PM[c],8:11 PM[b],8:45 PM[b],9:19 PM[b],9:53 PM[b],10:27 PM[b],
MONTEVIDEO RD north of AQUITAINE AVE,8:29 AM[b],9:09 AM[b],9:49 AM[b],10:29 AM[b],11:09 AM[b],11:49 AM[b],12:29 PM[b],1:09 PM[b],1:49 PM[b],2:29 PM[b],2:50 PM[b],3:12 PM[b],3:32 PM[b],3:53 PM[b],4:14 PM[b],4:35 PM[b],7:32 PM[b],8:13 PM[b],8:47 PM[b],9:21 PM[b],9:55 PM[b],10:29 PM[b],,,,,,,,,,,,,,,
GLEN ERIN DR at DERRY RD,6:16 AM[c],6:37 AM[c],6:59 AM[c],7:19 AM[c],7:44 AM[c],8:03 AM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DERRY RD at GLEN ERIN DR,5:52 AM[b],6:16 AM[c],6:37 AM[c],6:59 AM[c],7:19 AM[c],7:44 AM[c],8:03 AM[c],8:32 AM[b],9:12 AM[b],9:52 AM[b],10:32 AM[b],11:12 AM[b],11:52 AM[b],12:32 PM[b],1:12 PM[b],1:52 PM[b],2:32 PM[b],2:53 PM[b],3:15 PM[b],3:35 PM[b],3:56 PM[b],4:17 PM[b],4:38 PM[b],7:35 PM[b],8:16 PM[b],8:50 PM[b],9:24 PM[b],9:58 PM[b],10:32 PM[b],,,,,,,,
MONTEVIDEO RD at AQUITAINE AVE,5:58 AM[b],6:23 AM[c],6:44 AM[c],7:06 AM[c],7:26 AM[c],7:51 AM[c],8:10 AM[c],8:39 AM[b],9:19 AM[b],9:59 AM[b],10:39 AM[b],11:19 AM[b],11:59 AM[b],12:39 PM[b],1:19 PM[b],1:59 PM[b],2:39 PM[b],3:00 PM[b],3:22 PM[b],3:42 PM[b],4:03 PM[b],4:24 PM[b],4:45 PM[b],7:41 PM[b],8:22 PM[b],8:56 PM[b],9:30 PM[b],10:04 PM[b],10:38 PM[b],,,,,,,,
MEADOWVALE GO STATION PLATFORM A,6:26 AM[c],6:47 AM[c],7:09 AM[c],7:29 AM[c],7:54 AM[c],8:13 AM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUITAINE AVE at MONTEVIDEO RD,5:00 PM[c],5:26 PM[c],5:41 PM[c],6:00 PM[d],6:11 PM[c],6:31 PM[c],7:11 PM[c],7:56 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWVALE GO STATION PLATFORM A,5:02 PM[c],5:28 PM[c],5:43 PM[c],6:02 PM[d],6:13 PM[c],6:33 PM[c],7:13 PM[c],7:58 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AQUITAINE AVE FIRST STOP west of MONTEVIDEO RD,5:58 AM[b],6:29 AM[c],6:50 AM[c],7:12 AM[c],7:32 AM[c],7:57 AM[c],8:16 AM[c],8:39 AM[b],9:19 AM[b],9:59 AM[b],10:39 AM[b],11:19 AM[b],11:59 AM[b],12:39 PM[b],1:19 PM[b],1:59 PM[b],2:39 PM[b],3:00 PM[b],3:22 PM[b],3:42 PM[b],4:03 PM[b],4:24 PM[b],4:45 PM[b],7:41 PM[b],8:22 PM[b],8:56 PM[b],9:30 PM[b],10:04 PM[b],10:38 PM[b],,,,,,,,
MONTEVIDEO RD north of AQUITAINE AVE,5:06 PM[c],5:32 PM[c],5:47 PM[c],6:06 PM[d],6:17 PM[c],6:37 PM[c],7:17 PM[c],8:02 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLEN ERIN DR at DERRY RD,5:12 PM[c],5:38 PM[c],5:53 PM[c],6:12 PM[d],6:23 PM[c],6:43 PM[c],7:23 PM[c],8:08 PM[c],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM G,6:00 AM[b],6:31 AM[c],6:52 AM[c],7:14 AM[c],7:34 AM[c],7:59 AM[c],8:18 AM[c],8:41 AM[b],9:21 AM[b],10:01 AM[b],10:41 AM[b],11:21 AM[b],12:01 PM[b],12:41 PM[b],1:21 PM[b],2:01 PM[b],2:41 PM[b],3:02 PM[b],3:24 PM[b],3:45 PM[b],4:06 PM[b],4:27 PM[b],4:48 PM[b],5:16 PM[c],5:42 PM[c],5:57 PM[c],6:16 PM[d],6:27 PM[c],6:47 PM[c],7:27 PM[c],7:43 PM[b],8:12 PM[c],8:24 PM[b],8:58 PM[b],9:32 PM[b],10:06 PM[b],10:40 PM[b]
