MEADOWVALE TOWN CENTRE BUS TERMINAL PLATFORM G,5:06 AM[d],5:31 AM[d],5:49 AM[d],6:06 AM[d],6:33 AM[d],6:54 AM[d],7:17 AM[d],7:36 AM[d],8:03 AM[d],8:23 AM[d],8:43 AM[d],9:24 AM[d],10:04 AM[d],10:44 AM[d],11:24 AM[d],12:04 PM[d],12:44 PM[d],1:24 PM[d],2:04 PM[d],2:24 PM[d],2:43 PM[d],3:05 PM[d],3:26 PM[d],3:49 PM[d],4:08 PM[d],4:32 PM[d],4:50 PM[d],5:16 PM[d],5:44 PM[d],6:18 PM[d],6:39 PM[c],6:49 PM[d],7:07 PM[d],7:29 PM[d],7:52 PM[d],8:14 PM[d],8:27 PM[d],9:01 PM[d],9:35 PM[d],10:09 PM[d],10:43 PM[d]
AQUITAINE AVE at WINSTON CHURCHILL BLVD,5:07 AM[d],5:32 AM[d],5:50 AM[d],6:07 AM[d],6:34 AM[d],6:55 AM[d],7:18 AM[d],7:38 AM[d],8:05 AM[d],8:25 AM[d],8:44 AM[d],9:25 AM[d],10:05 AM[d],10:45 AM[d],11:25 AM[d],12:05 PM[d],12:45 PM[d],1:25 PM[d],2:05 PM[d],2:25 PM[d],2:44 PM[d],3:07 PM[d],3:28 PM[d],3:51 PM[d],4:10 PM[d],4:34 PM[d],4:52 PM[d],5:18 PM[d],5:46 PM[d],6:20 PM[d],6:41 PM[c],6:51 PM[d],7:09 PM[d],7:31 PM[d],7:54 PM[d],8:16 PM[d],8:29 PM[d],9:02 PM[d],9:36 PM[d],10:10 PM[d],10:44 PM[d]
WINSTON CHURCHILL BLVD north of VANDERBILT RD,5:09 AM[d],5:34 AM[d],5:52 AM[d],6:09 AM[d],6:36 AM[d],6:57 AM[d],7:20 AM[d],7:40 AM[d],8:07 AM[d],8:27 AM[d],8:46 AM[d],9:27 AM[d],10:07 AM[d],10:47 AM[d],11:27 AM[d],12:07 PM[d],12:47 PM[d],1:27 PM[d],2:07 PM[d],2:27 PM[d],2:46 PM[d],3:09 PM[d],3:30 PM[d],3:53 PM[d],4:12 PM[d],4:36 PM[d],4:54 PM[d],5:20 PM[d],5:48 PM[d],6:22 PM[d],6:43 PM[c],6:53 PM[d],7:11 PM[d],7:33 PM[d],7:56 PM[d],8:18 PM[d],8:31 PM[d],9:04 PM[d],9:38 PM[d],10:12 PM[d],10:46 PM[d]
DERRY RD at TERRAGAR BLVD,5:11 AM[d],5:36 AM[d],5:55 AM[d],6:12 AM[d],6:39 AM[d],7:00 AM[d],7:23 AM[d],7:43 AM[d],8:10 AM[d],8:30 AM[d],8:49 AM[d],9:30 AM[d],10:10 AM[d],10:50 AM[d],11:30 AM[d],12:10 PM[d],12:50 PM[d],1:30 PM[d],2:10 PM[d],2:30 PM[d],2:49 PM[d],3:11 PM[d],3:32 PM[d],3:55 PM[d],4:14 PM[d],4:38 PM[d],4:56 PM[d],5:22 PM[d],5:50 PM[d],6:24 PM[d],6:45 PM[c],6:55 PM[d],7:13 PM[d],7:35 PM[d],7:58 PM[d],8:20 PM[d],8:33 PM[d],9:06 PM[d],9:40 PM[d],10:14 PM[d],10:48 PM[d]
DERRY RD west of TERRAGAR BLVD,5:12 AM[d],5:37 AM[d],5:56 AM[d],6:13 AM[d],6:40 AM[d],7:01 AM[d],7:24 AM[d],7:44 AM[d],8:11 AM[d],8:31 AM[d],8:50 AM[d],9:31 AM[d],10:11 AM[d],10:51 AM[d],11:31 AM[d],12:11 PM[d],12:51 PM[d],1:31 PM[d],2:11 PM[d],2:31 PM[d],2:50 PM[d],3:12 PM[d],3:33 PM[d],3:56 PM[d],4:15 PM[d],4:39 PM[d],4:57 PM[d],5:23 PM[d],5:51 PM[d],6:25 PM[d],6:46 PM[c],6:56 PM[d],7:14 PM[d],7:36 PM[d],7:59 PM[d],8:21 PM[d],8:34 PM[d],9:07 PM[d],9:41 PM[d],10:15 PM[d],10:49 PM[d]
ROSEHURST DR at LAURENCLAIRE DR,5:13 AM[d],5:38 AM[d],5:57 AM[d],6:14 AM[d],6:41 AM[d],7:02 AM[d],7:25 AM[d],7:45 AM[d],8:12 AM[d],8:32 AM[d],8:51 AM[d],9:32 AM[d],10:12 AM[d],10:52 AM[d],11:32 AM[d],12:12 PM[d],12:52 PM[d],1:32 PM[d],2:12 PM[d],2:32 PM[d],2:51 PM[d],3:13 PM[d],3:34 PM[d],3:57 PM[d],4:16 PM[d],4:40 PM[d],4:58 PM[d],5:24 PM[d],5:52 PM[d],6:26 PM[d],6:47 PM[c],6:57 PM[d],7:15 PM[d],7:37 PM[d],8:00 PM[d],8:22 PM[d],8:35 PM[d],9:08 PM[d],9:42 PM[d],10:16 PM[d],10:50 PM[d]
TERRAGAR BLVD at BLACK WALNUT TRAIL,5:15 AM[d],5:40 AM[d],5:59 AM[d],6:16 AM[d],6:43 AM[d],7:04 AM[d],7:27 AM[d],7:47 AM[d],8:14 AM[d],8:34 AM[d],8:53 AM[d],9:34 AM[d],10:14 AM[d],10:54 AM[d],11:34 AM[d],12:14 PM[d],12:54 PM[d],1:34 PM[d],2:14 PM[d],2:34 PM[d],2:53 PM[d],3:15 PM[d],3:37 PM[d],4:00 PM[d],4:19 PM[d],4:43 PM[d],5:01 PM[d],5:27 PM[d],5:55 PM[d],6:29 PM[d],6:50 PM[c],7:00 PM[d],7:18 PM[d],7:40 PM[d],8:03 PM[d],8:25 PM[d],8:37 PM[d],9:10 PM[d],9:44 PM[d],10:18 PM[d],10:52 PM[d]
TERRAGAR BLVD at WILD CHERRY LANE,5:17 AM[d],5:42 AM[d],6:01 AM[d],6:18 AM[d],6:45 AM[d],7:06 AM[d],7:30 AM[d],7:50 AM[d],8:17 AM[d],8:37 AM[d],8:56 AM[d],9:37 AM[d],10:17 AM[d],10:57 AM[d],11:37 AM[d],12:17 PM[d],12:57 PM[d],1:37 PM[d],2:17 PM[d],2:37 PM[d],2:56 PM[d],3:18 PM[d],3:39 PM[d],4:02 PM[d],4:21 PM[d],4:45 PM[d],5:03 PM[d],5:29 PM[d],5:57 PM[d],6:31 PM[d],6:52 PM[c],7:02 PM[d],7:20 PM[d],7:42 PM[d],8:05 PM[d],8:27 PM[d],8:39 PM[d],9:12 PM[d],9:46 PM[d],10:20 PM[d],10:54 PM[d]
DERRY RD at WINSTON CHURCHILL BLVD,5:19 AM[d],5:44 AM[d],6:03 AM[d],6:20 AM[d],6:47 AM[d],7:08 AM[d],7:32 AM[d],7:52 AM[d],8:19 AM[d],8:39 AM[d],8:58 AM[d],9:39 AM[d],10:19 AM[d],10:59 AM[d],11:39 AM[d],12:19 PM[d],12:59 PM[d],1:39 PM[d],2:19 PM[d],2:40 PM[d],2:59 PM[d],3:21 PM[d],3:42 PM[d],4:05 PM[d],4:24 PM[d],4:48 PM[d],5:06 PM[d],5:32 PM[d],5:59 PM[d],6:33 PM[d],6:54 PM[c],7:04 PM[d],7:22 PM[d],7:44 PM[d],8:07 PM[d],8:29 PM[d],8:41 PM[d],9:14 PM[d],9:48 PM[d],10:22 PM[d],10:56 PM[d]
AQUITAINE AVE at FORMENTERA AVE,5:20 AM[d],5:45 AM[d],6:04 AM[d],6:21 AM[d],6:49 AM[d],7:10 AM[d],7:34 AM[d],7:54 AM[d],8:21 AM[d],8:41 AM[d],9:00 AM[d],9:41 AM[d],10:21 AM[d],11:01 AM[d],11:41 AM[d],12:21 PM[d],1:01 PM[d],1:41 PM[d],2:21 PM[d],2:42 PM[d],3:01 PM[d],3:23 PM[d],3:44 PM[d],4:07 PM[d],4:26 PM[d],4:50 PM[d],5:08 PM[d],5:34 PM[d],6:01 PM[d],6:35 PM[d],6:56 PM[c],7:06 PM[d],7:24 PM[d],7:46 PM[d],8:09 PM[d],8:31 PM[d],8:42 PM[d],9:15 PM[d],9:49 PM[d],10:23 PM[d],10:57 PM[d]
