CITY CENTRE BUS TERMINAL PLATFORM H,5:49:00 AM,6:07:00 AM,6:24:00 AM,6:42:00 AM,7:02:00 AM,7:23:00 AM,7:44:00 AM,8:15:00 AM,8:46:00 AM,9:18:00 AM,9:49:00 AM,10:20:00 AM,10:51:00 AM,11:22:00 AM,11:53:00 AM,12:24:00 PM,12:55:00 PM,1:26:00 PM,1:56:00 PM,2:27:00 PM,2:49:00 PM,3:07:00 PM,3:30:00 PM,3:50:00 PM,4:10:00 PM,4:30:00 PM,4:50:00 PM,5:10:00 PM,5:30:00 PM,5:50:00 PM,6:10:00 PM,6:30:00 PM,6:50:00 PM,7:23:00 PM,7:54:00 PM,8:23:00 PM,8:53:00 PM,9:23:00 PM,9:53:00 PM,10:23:00 PM,10:53:00 PM,11:26:00 PM,11:56:00 PM,12:36:00 AM,
RATHBURN RD at MAVIS RD,5:54:00 AM,6:12:00 AM,6:29:00 AM,6:47:00 AM,7:07:00 AM,7:28:00 AM,7:49:00 AM,8:20:00 AM,8:51:00 AM,9:23:00 AM,9:54:00 AM,10:25:00 AM,10:56:00 AM,11:27:00 AM,11:58:00 AM,12:29:00 PM,1:00:00 PM,1:31:00 PM,2:01:00 PM,2:32:00 PM,2:54:00 PM,3:12:00 PM,3:35:00 PM,3:55:00 PM,4:15:00 PM,4:35:00 PM,4:55:00 PM,5:15:00 PM,5:35:00 PM,5:55:00 PM,6:15:00 PM,6:35:00 PM,6:55:00 PM,7:28:00 PM,7:59:00 PM,8:28:00 PM,8:58:00 PM,9:28:00 PM,9:58:00 PM,10:28:00 PM,10:58:00 PM,11:31:00 PM,12:01:00 AM,12:41:00 AM,
RATHBURN RD at WAKEFIELD CRES (east leg),5:55:00 AM,6:13:00 AM,6:30:00 AM,6:48:00 AM,7:08:00 AM,7:29:00 AM,7:50:00 AM,8:21:00 AM,8:52:00 AM,9:24:00 AM,9:55:00 AM,10:26:00 AM,10:57:00 AM,11:28:00 AM,11:59:00 AM,12:30:00 PM,1:01:00 PM,1:32:00 PM,2:02:00 PM,2:33:00 PM,2:55:00 PM,3:13:00 PM,3:36:00 PM,3:56:00 PM,4:16:00 PM,4:36:00 PM,4:56:00 PM,5:16:00 PM,5:36:00 PM,5:56:00 PM,6:16:00 PM,6:36:00 PM,6:56:00 PM,7:28:00 PM,7:59:00 PM,8:28:00 PM,8:58:00 PM,9:28:00 PM,9:58:00 PM,10:28:00 PM,10:58:00 PM,11:31:00 PM,12:01:00 AM,12:41:00 AM,
RATHBURN RD at CREDITVIEW RD,5:59:00 AM,6:17:00 AM,6:34:00 AM,6:52:00 AM,7:12:00 AM,7:33:00 AM,7:54:00 AM,8:25:00 AM,8:56:00 AM,9:28:00 AM,9:59:00 AM,10:30:00 AM,11:01:00 AM,11:32:00 AM,12:03:00 PM,12:34:00 PM,1:05:00 PM,1:36:00 PM,2:06:00 PM,2:37:00 PM,2:59:00 PM,3:17:00 PM,3:40:00 PM,4:00:00 PM,4:20:00 PM,4:40:00 PM,5:00:00 PM,5:20:00 PM,5:40:00 PM,6:00:00 PM,6:20:00 PM,6:40:00 PM,7:00:00 PM,7:32:00 PM,8:03:00 PM,8:32:00 PM,9:02:00 PM,9:32:00 PM,10:02:00 PM,10:32:00 PM,11:02:00 PM,11:35:00 PM,12:05:00 AM,12:45:00 AM,
EGLINTON AVE west of CREDITVIEW RD,6:04:00 AM,6:22:00 AM,6:39:00 AM,6:57:00 AM,7:16:00 AM,7:37:00 AM,7:58:00 AM,8:29:00 AM,9:00:00 AM,9:32:00 AM,10:03:00 AM,10:34:00 AM,11:05:00 AM,11:36:00 AM,12:07:00 PM,12:38:00 PM,1:09:00 PM,1:40:00 PM,2:10:00 PM,2:41:00 PM,3:04:00 PM,3:22:00 PM,3:45:00 PM,4:05:00 PM,4:25:00 PM,4:45:00 PM,5:05:00 PM,5:25:00 PM,5:45:00 PM,6:05:00 PM,6:25:00 PM,6:45:00 PM,7:05:00 PM,7:37:00 PM,8:08:00 PM,8:36:00 PM,9:06:00 PM,9:36:00 PM,10:06:00 PM,10:36:00 PM,11:06:00 PM,11:39:00 PM,12:09:00 AM,12:49:00 AM,
EGLINTON AVE at MISSISSAUGA RD,6:07:00 AM,6:25:00 AM,6:42:00 AM,7:00:00 AM,7:20:00 AM,7:41:00 AM,8:02:00 AM,8:33:00 AM,9:04:00 AM,9:36:00 AM,10:07:00 AM,10:38:00 AM,11:09:00 AM,11:40:00 AM,12:11:00 PM,12:42:00 PM,1:13:00 PM,1:44:00 PM,2:14:00 PM,2:45:00 PM,3:08:00 PM,3:26:00 PM,3:49:00 PM,4:09:00 PM,4:29:00 PM,4:49:00 PM,5:09:00 PM,5:29:00 PM,5:49:00 PM,6:08:00 PM,6:28:00 PM,6:48:00 PM,7:08:00 PM,7:40:00 PM,8:11:00 PM,8:40:00 PM,9:10:00 PM,9:40:00 PM,10:10:00 PM,10:40:00 PM,11:10:00 PM,11:43:00 PM,12:13:00 AM,12:53:00 AM,
QUEEN ST at BARRY AVE,6:11:00 AM,6:29:00 AM,6:46:00 AM,7:04:00 AM,7:24:00 AM,7:45:00 AM,8:06:00 AM,8:37:00 AM,9:08:00 AM,9:40:00 AM,10:11:00 AM,10:42:00 AM,11:13:00 AM,11:44:00 AM,12:15:00 PM,12:46:00 PM,1:17:00 PM,1:48:00 PM,2:18:00 PM,2:49:00 PM,3:12:00 PM,3:30:00 PM,3:53:00 PM,4:13:00 PM,4:33:00 PM,4:53:00 PM,5:13:00 PM,5:33:00 PM,5:53:00 PM,6:12:00 PM,6:32:00 PM,6:52:00 PM,7:12:00 PM,7:44:00 PM,8:15:00 PM,8:44:00 PM,9:14:00 PM,9:44:00 PM,10:14:00 PM,10:44:00 PM,11:14:00 PM,11:47:00 PM,12:17:00 AM,12:57:00 AM,
JOYMAR DR at TANNERY ST,2:44 PM[G],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VISTA BLVD at TURNEY DR,6:16:00 AM,6:34:00 AM,6:51:00 AM,7:09:00 AM,7:29:00 AM,7:50:00 AM,8:11:00 AM,8:42:00 AM,9:13:00 AM,9:45:00 AM,10:16:00 AM,10:47:00 AM,11:18:00 AM,11:49:00 AM,12:20:00 PM,12:51:00 PM,1:22:00 PM,1:53:00 PM,2:23:00 PM,2:46 PM[G],2:54:00 PM,3:17:00 PM,3:35:00 PM,3:58:00 PM,4:18:00 PM,4:38:00 PM,4:58:00 PM,5:18:00 PM,5:38:00 PM,5:58:00 PM,6:17:00 PM,6:37:00 PM,6:57:00 PM,7:17:00 PM,7:49:00 PM,8:20:00 PM,8:49:00 PM,9:19:00 PM,9:49:00 PM,10:19:00 PM,10:49:00 PM,11:19:00 PM,11:52:00 PM,12:22:00 AM,1:02:00 AM
ERIN MILLS PKY at VISTA BLVD,6:16:00 AM,6:34:00 AM,6:51:00 AM,7:09:00 AM,7:29:00 AM,7:50:00 AM,8:11:00 AM,8:42:00 AM,9:13:00 AM,9:45:00 AM,10:16:00 AM,10:47:00 AM,11:18:00 AM,11:49:00 AM,12:20:00 PM,12:51:00 PM,1:22:00 PM,1:53:00 PM,2:23:00 PM,2:46 PM[G],2:54:00 PM,3:17:00 PM,3:35:00 PM,3:58:00 PM,4:18:00 PM,4:38:00 PM,4:58:00 PM,5:18:00 PM,5:38:00 PM,5:58:00 PM,6:17:00 PM,6:37:00 PM,6:57:00 PM,7:17:00 PM,7:49:00 PM,8:20:00 PM,8:49:00 PM,9:19:00 PM,9:49:00 PM,10:19:00 PM,10:49:00 PM,11:19:00 PM,11:52:00 PM,12:22:00 AM,1:02:00 AM
